taxon,clade,clade2,
Abrictosaurus_consors,Ornithischia,,
Achelousaurus_horneri,Ornithischia,Ceratopsidae,
Agilisaurus_louderbacki,Ornithischia,,
Agujaceratops_mariscalensis,Ornithischia,Ceratopsidae,
Altirhinus_kurzanovi,Ornithischia,Hadrosauriformes,
Amurosaurus_riabinini,Ornithischia,Hadrosauriformes,
Anchiceratops_ornatus,Ornithischia,Ceratopsidae,
Animantarx_ramaljonesi,Ornithischia,,
Ankylosaurus_magniventris,Ornithischia,,
Archaeoceratops_oshimai,Ornithischia,,Ceratopsia
Arrhinoceratops_brachyops,Ornithischia,Ceratopsidae,
Avaceratops_lammersi,Ornithischia,Ceratopsidae,
Bactrosaurus_johnsoni,Ornithischia,,
Bagaceratops_rozhdestvenskyi,Ornithischia,,Ceratopsia
Brachylophosaurus_canadensis,Ornithischia,Hadrosauriformes,
Camptosaurus_dispar,Ornithischia,,
Cedarpelta_bilbeyhallorum,Ornithischia,,
Centrosaurus_apertus,Ornithischia,Ceratopsidae,
Centrosaurus_brinkmani,Ornithischia,Ceratopsidae,
Chaoyangsaurus_youngi,Ornithischia,,Ceratopsia
Charonosaurus_jiayinensis,Ornithischia,Hadrosauriformes,
Chasmosaurus_belli,Ornithischia,Ceratopsidae,
Chasmosaurus_russelli,Ornithischia,Ceratopsidae,
Chialingosaurus_kuani,Ornithischia,,
Chungkingosaurus_jiangbeiensis,Ornithischia,,
Corythosaurus_casuarius,Ornithischia,Hadrosauriformes,
Dacentrurus_armatus,Ornithischia,,
Dryosaurus_altus,Ornithischia,,
Dwarf_pachycephalosaur,Ornithischia,,
Dysalotosaurus_lettowvorbecki,Ornithischia,,
Edmontonia_longiceps,Ornithischia,,
Edmontonia_rugosidens,Ornithischia,,
Edmontosaurus_annectens,Ornithischia,Hadrosauriformes,
Edmontosaurus_regalis,Ornithischia,Hadrosauriformes,
Einiosaurus_procurvicornis,Ornithischia,Ceratopsidae,
Emausaurus_ernsti,Ornithischia,,
Eocursor_parvus,Ornithischia,,
Eolambia_caroljonesa,Ornithischia,Hadrosauriformes,
Equijubus_normani,Ornithischia,Hadrosauriformes,
Euoplocephalus_tutus,Ornithischia,,
Fontllonga_euhadrosaur,Ornithischia,Hadrosauriformes,
Fukuisaurus_tetoriensis,Ornithischia,Hadrosauriformes,
Gargoyleosaurus_parkpinorum,Ornithischia,,
Gasparinisaura_cincosaltensis,Ornithischia,,
Gastonia_burgei,Ornithischia,,
Gilmoreosaurus_mongoliensis,Ornithischia,Hadrosauriformes,
Gobisaurus_domoculus,Ornithischia,,
Goyocephale_lattimorei,Ornithischia,,
Graciliceratops_mongoliensis,Ornithischia,,Ceratopsia
Gryposaurus_notabilis,Ornithischia,Hadrosauriformes,
Hesperosaurus_mjosi,Ornithischia,,
Heterodontosaurus_tucki,Ornithischia,,
Hexinlusaurus_multidens,Ornithischia,,
Homalocephale_calathocercos,Ornithischia,,
Huayangosaurus_taibaii,Ornithischia,,
Hungarosaurus_tormai,Ornithischia,,
Hylaeosaurus_armatus,Ornithischia,,
Hypacrosaurus_altispinus,Ornithischia,Hadrosauriformes,
Hypacrosaurus_stebingeri,Ornithischia,Hadrosauriformes,
Hypsilophodon_foxii,Ornithischia,,
Iguanodon_bernissartensis,Ornithischia,Hadrosauriformes,
Jaxartosaurus_aralensis,Ornithischia,Hadrosauriformes,
Jeholosaurus_shangyuanensis,Ornithischia,,
Jinzhousaurus_yangi,Ornithischia,Hadrosauriformes,
Kentrosaurus_aethiopicus,Ornithischia,,
Kerberosaurus_manakini,Ornithischia,Hadrosauriformes,
Lambeosaurus_lambei,Ornithischia,Hadrosauriformes,
Lambeosaurus_magnicristatus,Ornithischia,Hadrosauriformes,
Leptoceratops_gracilis,Ornithischia,,Ceratopsia
Lesothosaurus_diagnosticus,Ornithischia,,
Lexovisaurus_durobrivensis,Ornithischia,,
Liaoceratops_yanzigouensis,Ornithischia,,Ceratopsia
Lophorhothon_atopus,Ornithischia,Hadrosauriformes,
Lurdusaurus_arenatus,Ornithischia,Hadrosauriformes,
Maiasaura_peeblesorum,Ornithischia,Hadrosauriformes,
Mantellisaurus_atherfieldensis,Ornithischia,Hadrosauriformes,
Minmi_paravertebra,Ornithischia,,
Monoclonius_crassus,Ornithischia,Ceratopsidae,
Montanoceratops_cerorhynchus,Ornithischia,,Ceratopsia
Muttaburrasaurus_langdoni,Ornithischia,,
Mymoorapelta_maysi,Ornithischia,,
Naashoibitosaurus_ostromi,Ornithischia,Hadrosauriformes,
Nanyangosaurus_zhugeii,Ornithischia,,
Nedoceratops_hatcheri,Ornithischia,Ceratopsidae,
Nipponosaurus_sachalinensis,Ornithischia,Hadrosauriformes,
Nodocephalosaurus_kirtlandensis,Ornithischia,,
Olorotitan_arharensis,Ornithischia,Hadrosauriformes,
Ornatotholus_browni,Ornithischia,,
Orodromeus_makelai,Ornithischia,,
Othnielia_rex,Ornithischia,,
Ouranosaurus_nigeriensis,Ornithischia,Hadrosauriformes,
Pachycephalosaurus_wyomingensis,Ornithischia,,
Pachyrhinosaurus_canadensis,Ornithischia,Ceratopsidae,
Pachyrhinosaurus_n._sp.,Ornithischia,Ceratopsidae,
Panoplosaurus_mirus,Ornithischia,,
Paranthodon_africanus,Ornithischia,,
Pararhabdodon_isonensis,Ornithischia,,
Parasaurolophus_walkeri,Ornithischia,Hadrosauriformes,
Parksosaurus_warreni,Ornithischia,,
Pawpawsaurus_campbelli,Ornithischia,,
Pentaceratops_sternbergii,Ornithischia,Ceratopsidae,
Pinacosaurus_grangeri,Ornithischia,,
Pinacosaurus_mephistocephalus,Ornithischia,,
Pisanosaurus_mertii,Ornithischia,,
Polacanthus_foxii,Ornithischia,,
Prenocephale_brevis,Ornithischia,,
Prenocephale_edmontonensis,Ornithischia,,
Prenocephale_goodwini,Ornithischia,,
Prenocephale_prenes,Ornithischia,,
Prenoceratops_pieganensis,Ornithischia,,
Probactrosaurus_gobiensis,Ornithischia,Hadrosauriformes,
Prosaurolophus_maximus,Ornithischia,Hadrosauriformes,
Protoceratops_andrewsi,Ornithischia,,Ceratopsia
Protoceratops_hellenikorhinus,Ornithischia,,Ceratopsia
Protohadros_byrdi,Ornithischia,Hadrosauriformes,
Psittacosaurus_guyangensis,Ornithischia,,Ceratopsia
Psittacosaurus_mongoliensis,Ornithischia,,Ceratopsia
Psittacosaurus_sinensis,Ornithischia,,Ceratopsia
Rhabdodon_priscus,Ornithischia,,
