"","species","nodecount","time"
"1","Pisanosaurus_mertii",2,5.8
"2","Eocursor_parvus",3,23.65
"3","Lesothosaurus_diagnosticus",4,42.45
"4","Scutellosaurus_lawleri",6,47.500000003
"5","Emausaurus_ernsti",7,57.95
"6","Scelidosaurus_harrisonii",8,43.450000004
"7","Huayangosaurus_taibaii",10,71.600000003
"8","Paranthodon_africanus",11,99.050000003
"9","Chungkingosaurus_jiangbeiensis",12,79.400000003
"10","Chialingosaurus_kuani",13,80.700000003
"11","Wuerhosaurus_homheni",16,118.550000002
"12","Taxon_65",16,88.482488075
"13","Dacentrurus_armatus",16,85.050000003
"14","Hesperosaurus_mjosi",16,81.300000003
"15","Tuojiangosaurus_multispinus",15,79.400000003
"16","Kentrosaurus_aethiopicus",17,88.600000003
"17","Lexovisaurus_durobrivensis",17,74.200000003
"18","Stegosaurus_armatus",17,87.350000003
"19","Stegosaurus_stenops",17,87.350000003
"20","Struthiosaurus_austriacus",12,160.65000001
"21","Taxon_62",13,91.3478684103
"22","Taxon_76",13,95.1353293893
"23","Taxon_44",11,90.21449178
"24","Hungarosaurus_tormai",12,153.550000008
"25","Taxon_77",12,95.629263018
"26","Hylaeosaurus_armatus",13,101.850000007
"27","Cedarpelta_bilbeyhallorum",14,136.875000007
"28","Pawpawsaurus_campbelli",15,134.875000007
"29","Sauropelta_edwardsorum",16,125.300000007
"30","Silvisaurus_condrayi",17,131.750000007
"31","Panoplosaurus_mirus",18,164.300000007
"32","Edmontonia_longiceps",19,160.650000003
"33","Edmontonia_rugosidens",19,170.55
"34","Gargoyleosaurus_parkpinorum",13,87.350000007
"35","Animantarx_ramaljonesi",15,136.875000002
"36","Taxon_15",15,96.932138082
"37","Minmi_paravertebra",16,105.65000001
"38","Taxon_20",16,93.83147922
"39","Mymoorapelta_maysi",17,87.350000007
"40","Gastonia_burgei",18,109.950000007
"41","Polacanthus_foxii",18,107.100000007
"42","Gobisaurus_domoculus",17,146.650000007
"43","Shamosaurus_scutatus",18,125.099999997
"44","Tianzhenosaurus_youngi",20,155.249999997
"45","Tsagantegia_longicranialis",20,149.749999997
"46","Talarurus_plicatospineus",21,149.749999997
"47","Pinacosaurus_grangeri",22,160.649999997
"48","Pinacosaurus_mephistocephalus",22,164.299999997
"49","Nodocephalosaurus_kirtlandensis",21,164.299999997
"50","Ankylosaurus_magniventris",23,170.549999997
"51","Euoplocephalus_tutus",23,164.299999997
"52","Saichania_chulsanensis",23,160.649999997
"53","Tarchia_gigantea",23,161.749999997
"54","Stormbergia_dangershoeki",6,42.450000002
"55","Heterodontosaurus_tucki",9,42.450000006
"56","Abrictosaurus_consors",9,42.450000006
"57","Stenopelix_valdensis",10,96.299999994
"58","Wannanosaurus_yansiensis",11,167.499999994
"59","Yaverlandia_bitholus",12,109.949999994
"60","Goyocephale_lattimorei",13,165.399999994
"61","Homalocephale_calathocercos",14,165.399999994
"62","Ornatotholus_browni",15,164.299999994
"63","Stegoceras_validum",16,160.649999994
"64","Dwarf_pachycephalosaur",18,164.299999994
"65","Prenocephale_prenes",19,165.399999994
"66","Tylocephale_gilmorei",19,160.649999994
"67","Pachycephalosaurus_wyomingensis",19,169.449999994
"68","Stygimoloch_spinifer",19,170.549999994
"69","Prenocephale_goodwini",20,164.299999994
"70","Sphaerotholus_buchholtzae",20,169.449999994
"71","Prenocephale_edmontonensis",20,164.299999994
"72","Prenocephale_brevis",20,164.299999994
"73","Yinlong_downsi",10,78.099999997
"74","Psittacosaurus_guyangensis",13,125.100000009
"75","Taxon_5",13,89.751257129
"76","Taxon_61",12,93.91547423
"77","Chaoyangsaurus_youngi",13,97.699999996
"78","Xuanhuaceratops_niei",13,71.599999999
"79","Psittacosaurus_mongoliensis",14,100.599999997
"80","Psittacosaurus_sinensis",14,118.85
"81","Liaoceratops_yanzigouensis",14,114.400000003
"82","Yamaceratops_dorngobiensis",15,153.550000003
"83","Archaeoceratops_oshimai",16,116.5999999996
"84","Montanoceratops_cerorhynchus",18,167.4999999993
"85","Protoceratops_hellenikorhinus",19,155.5999999993
"86","Prenoceratops_pieganensis",20,160.6499999993
"87","Leptoceratops_gracilis",21,169.4499999953
"88","Udanoceratops_tschizhovi",21,160.6499999983
"89","Bagaceratops_rozhdestvenskyi",19,160.6499999993
"90","Graciliceratops_mongoliensis",20,146.4499999993
"91","Protoceratops_andrewsi",20,164.2999999993
"92","Zuniceratops_christopheri",19,146.2999999993
"93","Avaceratops_lammersi",20,164.2999999993
"94","Monoclonius_crassus",22,160.6499999993
"95","Styracosaurus_albertensis",24,164.2999999993
"96","Centrosaurus_apertus",25,160.6499999993
"97","Centrosaurus_brinkmani",25,164.2999999993
"98","Einiosaurus_procurvicornis",24,160.6499999993
"99","Achelousaurus_horneri",25,160.6499999993
"100","Pachyrhinosaurus_canadensis",26,165.3999999993
"101","Pachyrhinosaurus_n._sp.",26,163.6999999993
"102","Vagaceratops_irvinensis",23,164.2999999993
"103","Pentaceratops_sternbergii",24,164.2999999993
"104","Agujaceratops_mariscalensis",25,160.6499999993
"105","Chasmosaurus_belli",26,164.2999999993
"106","Chasmosaurus_russelli",26,164.2999999993
"107","Anchiceratops_ornatus",24,165.4000000003
"108","Arrhinoceratops_brachyops",24,165.4000000003
"109","Triceratops_horridus",24,169.4499999993
"110","Nedoceratops_hatcheri",25,170.5499999993
"111","Torosaurus_latus",25,169.4499999993
"112","Agilisaurus_louderbacki",8,71.600000008
"113","Hexinlusaurus_multidens",9,71.600000008
"114","Yandusaurus_hongheensis",11,71.600000008
"115","Othnielia_rex",12,87.350000007
"116","Taxon_10",12,87.080990768
"117","Orodromeus_makelai",14,163.7000000101
"118","Zephyrosaurus_schaffi",14,125.3000000101
"119","Taxon_32",14,96.5491337101
"120","Taxon_52",14,91.8783166131
"121","Jeholosaurus_shangyuanensis",14,114.4000000086
"122","Taxon_70",14,92.0270454886
"123","Hypsilophodon_foxii",14,111.0750000071
"124","Gasparinisaura_cincosaltensis",17,158.5500000196
"125","Taxon_11",17,88.0638415396
"126","Taxon_6",17,103.6301960596
"127","Taxon_13",17,91.2095404296
"128","Parksosaurus_warreni",18,167.500000009
"129","Taxon_45",18,102.927920789
"130","Taxon_4",18,102.81486304
"131","Taxon_23",18,88.94299625
"132","Thescelosaurus_neglectus",19,165.2500000116
"133","Taxon_55",19,102.7188794716
"134","Taxon_16",19,102.2279271587
"135","Taxon_49",19,97.2624119486999
"136","Tenontosaurus_dossi",19,122.1750000071
"137","Taxon_71",19,88.2135201301
"138","Tenontosaurus_tilletti",22,125.30000000774
"139","Taxon_73",22,90.2375990677399
"140","Taxon_50",21,97.97617942064
"141","Taxon_22",20,93.8368226116
"142","Muttaburrasaurus_langdoni",22,136.8750000121
"143","Taxon_35",22,93.5451901620999
"144","Taxon_3",21,100.1256816981
"145","Rhabdodon_priscus",22,165.4000000166
"146","Zalmoxes_robustus",23,169.4500000166
"147","Zalmoxes_shqiperorum",23,167.5000000166
"148","Dysalotosaurus_lettowvorbecki",23,83.8000000120999
"149","Dryosaurus_altus",23,87.3500000115999
"150","Camptosaurus_dispar",23,87.3500000110999
"151","Lurdusaurus_arenatus",25,125.1000000111
"152","Equijubus_normani",26,116.6000000111
"153","Iguanodon_bernissartensis",27,113.2750000111
"154","Mantellisaurus_atherfieldensis",28,108.4000000111
"155","Ouranosaurus_nigeriensis",29,125.1000000081
"156","Fukuisaurus_tetoriensis",30,109.9500000115
"157","Altirhinus_kurzanovi",31,132.7500000118
"158","Nanyangosaurus_zhugeii",32,131.7500000118
"159","Jinzhousaurus_yangi",33,118.8500000118
"160","Probactrosaurus_gobiensis",34,122.8500000118
"161","Eolambia_caroljonesa",35,136.8750000118
"162","Protohadros_byrdi",36,142.5000000118
"163","Bactrosaurus_johnsoni",37,149.7500000118
"164","Gilmoreosaurus_mongoliensis",39,149.7500000118
"165","Telmatosaurus_transsylvanicus",39,169.4500000118
"166","Fontllonga_euhadrosaur",39,170.5500000088
"167","Lophorhothon_atopus",41,156.4000000115
"168","Gryposaurus_notabilis",43,160.6500000115
"169","Brachylophosaurus_canadensis",44,160.6500000115
"170","Maiasaura_peeblesorum",44,160.6500000115
"171","Edmontosaurus_annectens",44,170.5500000115
"172","Edmontosaurus_regalis",44,165.4000000115
"173","Kerberosaurus_manakini",44,170.5500000115
"174","Prosaurolophus_maximus",45,164.3000000115
"175","Naashoibitosaurus_ostromi",46,164.3000000115
"176","Secernosaurus_koerneri",47,165.4000000115
"177","Saurolophus_osborni",47,167.3500000115
"178","Pararhabdodon_isonensis",41,169.4500000122
"179","Tsintaosaurus_spinorhinus",42,160.6500000119
"180","Jaxartosaurus_aralensis",43,151.8000000123
"181","Amurosaurus_riabinini",44,170.5500000123
"182","Charonosaurus_jiayinensis",46,170.5500000123
"183","Parasaurolophus_walkeri",46,164.3000000123
"184","Lambeosaurus_lambei",47,164.3000000123
"185","Lambeosaurus_magnicristatus",47,164.3000000123
"186","Corythosaurus_casuarius",47,164.3000000123
"187","Olorotitan_arharensis",48,170.5500000123
"188","Hypacrosaurus_stebingeri",49,160.6500000123
"189","Hypacrosaurus_altispinus",50,165.4000000123
"190","Nipponosaurus_sachalinensis",50,155.0500000123
"191","Taxon_28",24,92.7710510820999
"192","Taxon_91",11,80.453332578
