"","species","nodecount","time"
"1","Staurikosaurus_pricei",3,6.96
"2","Herrerasaurus_ischigualastensis",4,6.96
"3","Chindesaurus_bryansmalli",4,16.41
"4","Eoraptor_lunensis",3,6.96
"5","Guaibasaurus_candelariensis",4,20.71
"6","Sarcosaurus_woodi",7,42.485
"7","Zupaysaurus_rougieri",7,20.71
"8","Dilophosaurus_wetherilli",7,48.66
"9","Gojirasaurus_quayi",8,20.71
"10","Lophostropheus_airelensis",10,35.26
"11","Liliensternus_liliensterni",10,34.26
"12","Procompsognathus_triassicus",10,20.71
"13","Coelophysis_rhodesiensis",11,43.609999997
"14","Coelophysis_bauri",12,24.810000001
"15","Segisaurus_halli",12,57.210000004
"16","Elaphrosaurus_bambergi",8,89.759999998
"17","Taxon_85",8,88.55420588
"18","Ceratosaurus_nasicornis",10,88.51000001
"19","Taxon_51",10,98.68710409
"20","Spinostropheus_gautieri",9,80.11000001
"21","Velocisaurus_unicus",10,154.71
"22","Xenotarsosaurus_bonapartei",11,142.46
"23","Rugops_primus",12,142.46
"24","Masiakasaurus_knopfleri",14,170.60999999
"25","Noasaurus_leali",14,168.65999999
"26","Ilokelesia_aguadagrandensis",14,147.0099999963
"27","Abelisaurus_comahuensis",15,159.7099999966
"28","Aucasaurus_garridoi",17,161.8099999969
"29","Carnotaurus_sastrei",17,161.8099999969
"30","Bajo_Barreal_abelisaur",17,146.2599999965
"31","Lameta_abelisaur",17,170.6099999932
"32","Majungasaurus_crenatissimus",17,170.6099999932
"33","Taxon_54",9,89.17011469
"34","Szechuanosaurus_zigongensis",7,72.7599999933
"35","Afrovenator_abakensis",13,80.10999999399
"36","Piatnitzkysaurus_floresi",13,72.75999999399
"37","Megalosaurus_bucklandii",13,72.45999999399
"38","Poekilopleuron_bucklandii",13,72.45999999399
"39","Taxon_55",11,90.72827792675
"40","Taxon_66",10,80.8530467256
"41","Torvosaurus_tanneri",12,88.50999999527
"42","Dubreuillosaurus_valesdunensis",13,72.45999999527
"43","Eustreptospondylus_oxoniensis",13,75.90999999527
"44","Taxon_89",11,81.7516475866
"45","Duriavenator_hesperis",11,70.8099999966
"46","Chilantaisaurus_tashuikouensis",13,147.8099999976
"47","Taxon_14",13,88.6971985176
"48","Cristatusaurus_lapparenti",15,123.33499999843
"49","Taxon_59",15,109.39774278843
"50","Taxon_41",14,91.9340296366
"51","Baryonyx_walkeri",15,109.9849999966
"52","Suchomimus_tenerensis",15,120.0099999966
"53","Irritator_challengeri",15,132.9099999966
"54","Spinosaurus_aegypticus",15,141.1599999966
"55","Lourinhanosaurus_antunesi",11,88.4100000001
"56","Taxon_73",11,98.4753211169
"57","Monolophosaurus_jiangi",11,74.8599999939
"58","Cryolophosaurus_ellioti",12,48.6599999979
"59","Sinraptor_dongi",14,79.2600000009
"60","Yangchuanosaurus_shangyouensis",14,80.5600000009
"61","Allosaurus_fragilis",14,88.5100000009
"62","Neovenator_salerii",16,111.1100000049
"63","Acrocanthosaurus_atokensis",17,120.0100000079
"64","Tyrannotitan_chubutensis",18,120.0100000089
"65","Carcharodontosaurus_saharicus",19,141.1600000119
"66","Giganotosaurus_carolinii",20,141.1600000119
"67","Mapusaurus_roseae",20,147.0100000119
"68","Taxon_16",15,82.7897768849
"69","Fukuiraptor_kitadaniensis",11,111.1099999932
"70","Taxon_15",11,95.3679762932
"71","Tugulusaurus_faciles",12,129.5849999965
"72","Taxon_44",12,91.8316018365
"73","Magnosaurus_nethercombensis",12,69.8099999998
"74","Siamotyrannus_isanensis",14,117.7600000031
"75","Dilong_paradoxus",16,115.5600000031
"76","Guanlong_wucaii",17,79.2600000131
"77","Dryptosaurus_aquilunguis",20,171.7100000131
"78","Taxon_48",21,102.452296635
"79","Taxon_95",21,103.978044895
"80","Taxon_39",19,90.7967709131
"81","Stokesosaurus_clevelandi",18,88.5100000131
"82","Eotyrannus_lengi",16,111.1100000031
"83","Alectrosaurus_olseni",17,164.8600000031
"84","Alioramus_remotus",18,170.6099999961
"85","Albertosaurus_sarcophagus",20,164.8600000091
"86","Gorgosaurus_libratus",20,161.8100000091
"87","Appalachiosaurus_montgomeriensis",20,161.8100000021
"88","Two_Medicine_tyrannosaurine",22,161.8100000011
"89","Daspletosaurus_torosus",22,161.8100000011
"90","Tyrannosaurus_rex",22,170.6099999981
"91","Nanotyrannus_lancensis",23,171.7099999991
"92","Tarbosaurus_bataar",23,164.8599999991
"93","Nqwebasaurus_thwazi",16,100.2099999964
"94","Taxon_74",16,99.2473934764
"95","Gasosaurus_constructus",17,72.7599999954
"96","Taxon_100",17,83.3388224664
"97","Nedcolbertia_justinhofmanni",17,111.1099999964
"98","Huaxiagnathus_orientalis",18,115.5599999894
"99","Sinosauropteryx_prima",19,115.5599999924
"100","Aristosuchus_pusillus",20,111.1099999954
"101","Compsognathus_longipes",21,89.7599999914
"102","Mirischia_asymmetrica",21,132.9099999884
"103","Scipionyx_samniticus",18,129.7850000282
"104","Taxon_33",18,82.8572024712
"105","Taxon_43",17,80.3918182682
"106","Taxon_80",16,78.7135639397
"107","Xuanhanosaurus_qilixiaensis",19,72.759999994441
"108","Taxon_4",19,77.247405756741
"109","Taxon_37",18,82.147604186
"110","Proceratosaurus_bradleyi",18,72.459999983
"111","Deltadromeus_agilis",22,141.1599999862
"112","Taxon_92",22,95.8695088862
"113","Taxon_58",21,96.667758834
"114","Taxon_31",20,90.262372188
"115","Ornitholestes_hermanni",19,88.509999983
"116","Coelurus_fragilis",18,88.5099999963
"117","Taxon_64",18,90.3323945463
"118","Pelecanimimus_polyodon",21,112.23499998855
"119","Shenzhousaurus_orientalis",24,115.55999998745
"120","Harpymimus_okladnikovi",25,132.90999998745
"121","Garudimimus_brevipes",26,144.50999998745
"122","Archaeornithomimus_asiaticus",27,150.90999998745
"123","Sinornithomimus_dongi",28,147.80999998745
"124","Anserimimus_planinychus",30,166.55999999045
"125","Gallimimus_bullatus",30,166.55999999045
"126","Struthiomimus_altus",30,164.85999998645
"127","Ornithomimus_edmontonicus",31,166.55999998645
"128","Ornithomimus_velox",31,168.50999998645
"129","Taxon_8",23,99.67937400745
"130","Taxon_3",24,115.04374259255
"131","Taxon_35",24,93.14615936255
"132","Taxon_28",23,98.01428813405
"133","Taxon_52",20,91.10480416045
"134","Taxon_87",19,78.1103750496
"135","Bagaraatan_ostromi",23,166.5600000029
"136","Taxon_101",23,103.8115166629
"137","Taxon_40",22,99.3369784819
"138","Xinjiangovenator_parvus",22,129.5850000019
"139","Taxon_9",23,108.1909261159
"140","Taxon_81",23,94.6508129259
"141","Taxon_38",20,85.4344154629
"142","Quarry_9_coelurosaur",22,88.5099999945
"143","Taxon_32",22,96.9537147395
"144","Nanshiungosaurus_brevispinus",24,164.8599999961
"145","Taxon_105",24,83.4734690461
"146","Falcarius_utahensis",25,111.1099999994
"147","Taxon_57",25,103.9714083094
"148","Nothronychus_mckinleyi",26,147.8099999627
"149","Taxon_7",27,95.2912281967
"150","Taxon_30",27,95.0043226467
"151","Beipiaosaurus_inexpectus",27,115.559999996
"152","Taxon_10",27,106.456974916
"153","Enigmosaurus_mongoliensis",27,144.5100000293
"154","Eshanosaurus_deguchiianus",28,39.3599999959
"155","Erlikosaurus_andrewsi",30,144.5099999926
"156","Segnosaurus_galbinensis",30,144.5099999926
"157","Taxon_93",29,94.1263406326
"158","Incisivosaurus_gauthieri",23,115.5599999928
"159","Caudipteryx_zoui",26,115.5599999788
"160","El_Brete_oviraptor",26,168.5099999788
"161","Taxon_25",25,86.5035494578
"162","Avimimus_portentosus",25,161.8099999928
"163","Chirostenotes_pergracilis",27,165.4599999928
"164","Nomingia_gobiensis",27,166.5599999928
"165","Microvenator_celer",27,126.2599999928
"166","Rinchenia_mongoliensis",29,166.5599999928
"167","Kamyn_Khondt_oviraptorine",30,161.2599999928
"168","Citipati_osmolskae",30,165.4599999928
"169","Khaan_mckennai",29,165.4599999928
"170","Oviraptor_philoceratops",30,165.4599999928
"171","Conchoraptor_gracilis",31,161.8099999928
"172","Ingenia_yanshini",31,161.8099999928
"173","Alvarezsaurus_calvoi",24,154.7100000022
"174","Taxon_18",24,99.1477079122
"175","Patagonykus_puertai",24,149.6099999992
"176","Shuvuuia_deserti",25,165.4599999992
"177","Mononykus_olecranus",26,166.5600000032
"178","Parvicursor_remotus",26,161.8100000032
"179","Taxon_75",22,79.6642781232
"180","Gugyedong_maniraptoran",25,123.1350000002
"181","Taxon_23",25,92.7745429802
"182","Taxon_49",24,85.0206382912
"183","Taxon_70",23,84.6297460962
"184","Protarchaeopteryx_robusta",24,115.5599999962
"185","Taxon_27",24,92.8905316662
"186","Unenlagia_comahuensis",26,149.6100000012
"187","Taxon_26",27,99.5673806362
"188","Taxon_45",27,91.6575014162
"189","Rahonavis_ostromi",27,170.6099999932
"190","Taxon_67",27,85.4347481932
"191","Archaeopteryx_lithographica",28,89.7599999962
"192","Taxon_50",28,91.6377510602
"193","Jinfengopteryx_elegans",29,116.9099999984
"194","Taxon_21",29,108.1682117284
"195","Taxon_17",29,104.2217611288
"196","Taxon_24",29,95.5920608638
"197","Mei_long",27,115.5599999962
"198","Sinovenator_changii",27,115.5599999962
"199","Dornogov_troodontid",27,138.0349999962
"200","Sinornithoides_youngi",28,119.7099999922
"201","Byronosaurus_jaffei",29,161.8099999892
"202","Troodon_formosus",30,164.8599999892
"203","Zanabazar_junior",31,166.5599999892
"204","Saurornithoides_mongoliensis",31,165.4599999892
"205","Neuquenraptor_argentinus",26,149.6099999962
"206","Microraptor_zhaoianus",27,120.0099999962
"207","Sinornithosaurus_millenii",28,115.5599999962
"208","Buitreraptor_gonzalezorum",29,141.1599999962
"209","Adasaurus_mongoliensis",31,166.5599999962
"210","Achillobator_giganticus",32,147.6099999962
"211","Dromaeosaurus_albertensis",33,161.8099999962
"212","Utahraptor_ostrommaysi",33,115.5599999962
"213","Saurornitholestes_langstoni",31,161.8099999962
"214","Tsaagan_mangas",33,161.8099999962
"215","Velociraptor_mongoliensis",33,161.8099999962
"216","Bambiraptor_feinbergorum",33,161.8099999962
"217","Deinonychus_antirrhopus",34,126.2599999962
"218","Atrociraptor_marshalli",34,166.5599999962
