"","species","nodecount","time"
"1","Saturnalia_tupiniquim",2,4.64
"2","Thecodontosaurus_antiquus",4,31.940000008
"3","Pantydraco_caducus",4,31.940000008
"4","Mussaurus_patagonicus",4,18.389999996
"5","Jingshanosaurus_xinwaensis",5,41.290000004
"6","Efraasia_minor",6,18.390000001
"7","Ammosaurus_major",8,57.789999998
"8","Riojasaurus_incertus",9,18.390000002
"9","Lufengosaurus_huenei",12,48.440000002
"10","Gyposaurus_sinensis",12,37.040000001
"11","Massospondylus_carinatus",12,41.290000003
"12","Yunnanosaurus_huangi",12,41.290000003
"13","Plateosaurus_gracilis",11,18.390000003
"14","Plateosauravus_cullingworthi",12,22.490000003
"15","Coloradisaurus_brevis",13,18.390000003
"16","Plateosaurus_engelhardti",14,31.940000006
"17","Unaysaurus_tolentinoi",14,18.390000004
"18","Anchisaurus_polyzelus",8,41.290000002
"19","Melanorosaurus_readi",10,22.490000001
"20","Camelotia_borealis",11,31.939999998
"21","Lessemsaurus_sauropoides",11,18.39
"22","Blikanasaurus_cromptoni",10,22.490000001
"23","Antetonitrus_ingenipes",11,22.490000001
"24","Gongxianosaurus_shibeiensis",12,58.940000001
"25","Isanosaurus_attavipachi",13,22.490000001
"26","Tazoudasaurus_naimi",14,54.890000001
"27","Kotasaurus_yamanpalliensis",15,49.640000001
"28","Vulcanodon_karibaensis",16,37.040000001
"29","Shunosaurus_lii",17,70.440000001
"30","Barapasaurus_tagorei",18,49.640000001
"31","Mamenchisaurus_constructus",20,78.240000001
"32","Omeisaurus_junghsiensis",21,70.439999997
"33","Omeisaurus_tianfuensis",21,70.439999997
"34","Patagosaurus_fariasi",20,66.590000001
"35","Cetiosaurus_oxoniensis",21,70.390000001
"36","Losillasaurus_giganteus",23,90.2900000071
"37","Zapalasaurus_bonapartei",24,113.2400000061
"38","Taxon_167",24,109.5706788761
"39","Jobaria_tiguidensis",23,77.7900000002
"40","Haplocanthosaurus_priscus",24,86.1900000033
"41","Amphicoelias_altus",26,86.1900000044
"42","Limaysaurus_tessonei",29,138.8400000034
"43","Nigersaurus_taqueti",30,123.9399999934
"44","Rayososaurus_agrioensis",30,138.8399999934
"45","Rebbachisaurus_garasbae",30,133.8899999934
"46","Taxon_147",28,83.0340034934
"47","Suuwassea_emilieae",29,86.1900000014
"48","Amargasaurus_cazaui",32,112.1150000051
"49","Taxon_39",32,87.9853836251
"50","Taxon_18",31,100.8508725511
"51","Brachytrachelopan_mesai",31,88.7900000024
"52","Dicraeosaurus_hansemanni",31,82.6400000024
"53","Dinheirosaurus_lourinhanensis",30,83.8900000024
"54","Tornieria_africana",31,87.4400000014
"55","Barosaurus_lentus",32,86.1900000018
"56","Diplodocus_longus",32,86.1900000018
"57","Apatosaurus_louisae",30,86.1900000014
"58","Apatosaurus_sp.",31,86.1900000014
"59","Apatosaurus_ajax",32,86.1900000014
"60","Apatosaurus_excelsus",32,86.1900000014
"61","Apatosaurus_parvus",32,86.1900000014
"62","Atlasaurus_imelakei",27,71.4400000015
"63","Haplocanthosaurus_delfsi",27,86.1900000005
"64","Camarasaurus_supremus",28,86.1900000046
"65","Taxon_201",28,84.9209022676
"66","Amazonsaurus_maranhensis",30,123.94000000462
"67","Taxon_202",30,86.0129262346201
"68","Taxon_161",29,82.2758432387
"69","Giraffatitan_brancai",31,87.4399999958001
"70","Taxon_110",32,88.8420212558
"71","Taxon_191",32,88.5275677178001
"72","Taxon_74",30,79.2837422578
"73","Europasaurus_holgeri",31,82.6400000050001
"74","Lapparentosaurus_madagascariensis",32,70.1400000012001
"75","Brachiosaurus_altithorax",34,86.1900000011001
"76","Taxon_130",34,97.5148795371001
"77","Cedarosaurus_weiskopfae",35,108.7900000051
"78","Taxon_90",36,98.8201248920061
"79","Taxon_165",36,109.332172802006
"80","Taxon_88",35,95.4150224532501
"81","Taxon_132",35,94.4580368292501
"82","Datousaurus_bashanensis",32,70.4400000012001
"83","Euhelopus_zdanskyi",35,115.4399999983
"84","Taxon_209",35,93.3431441483001
"85","Taxon_86",34,91.2089661921001
"86","Tehuelchesaurus_benitezii",33,86.1900000011001
"87","Antarctosaurus_wichmannianus",36,157.39000000173
"88","Quaesitosaurus_orientalis",37,158.94000000173
"89","Rapetosaurus_krausei",38,168.29000000173
"90","Nemegtosaurus_mongoliensis",38,164.24000000173
"91","Taxon_175",35,96.6217269217301
"92","Taxon_69",34,101.4215622475
"93","Taxon_20",33,104.776719078
"94","Bellusaurus_sui",33,76.9400000020001
"95","Phuwiangosaurus_sirindhornae",35,115.440000003
"96","Taxon_43",36,91.6051162160001
"97","Taxon_125",36,89.5267284390001
"98","Andesaurus_delgadoi",38,138.83999999773
"99","Taxon_104",38,98.9227899977301
"100","Taxon_82",37,91.4160213816001
"101","Taxon_47",36,90.5612704480001
"102","Pleurocoelus_nanus",36,114.365000005
"103","Ampelosaurus_atacis",42,164.24000000341
"104","Taxon_154",43,100.20582914241
"105","Taxon_160",43,91.2329872524101
"106","Taxon_133",41,90.6639864983101
"107","Taxon_115",40,99.2528546313101
"108","Taxon_65",41,98.3362837418701
"109","Taxon_134",41,91.3137969748701
"110","Taxon_98",40,94.9766992489101
"111","Taxon_27",39,93.3124281282001
"112","Taxon_164",39,104.4810199082
"113","Agustinia_ligabuei",40,127.4650000026
"114","Taxon_109",40,99.6983920926001
"115","Taxon_68",40,90.1254267406001
"116","Taxon_200",40,88.4988836466001
"117","Paralititan_stromeri",42,138.83999999805
