"","species","nodecount","time"
"1","Staurikosaurus_pricei",3,6.96
"2","Herrerasaurus_ischigualastensis",4,6.96
"3","Chindesaurus_bryansmalli",4,16.41
"4","Eoraptor_lunensis",3,6.96
"5","Guaibasaurus_candelariensis",4,20.71
"6","Sarcosaurus_woodi",7,42.485
"7","Zupaysaurus_rougieri",7,20.71
"8","Dilophosaurus_wetherilli",7,48.66
"9","Gojirasaurus_quayi",8,20.71
"10","Lophostropheus_airelensis",10,35.26
"11","Liliensternus_liliensterni",10,34.26
"12","Procompsognathus_triassicus",10,20.71
"13","Coelophysis_rhodesiensis",11,43.609999997
"14","Coelophysis_bauri",12,24.810000001
"15","Segisaurus_halli",12,57.210000004
"16","Elaphrosaurus_bambergi",8,89.759999997
"17","Taxon_4",8,111.99695959
"18","Ceratosaurus_nasicornis",9,88.51000001
"19","Spinostropheus_gautieri",11,80.11000001
"20","Taxon_58",11,80.652819406
"21","Taxon_140",10,83.801250029
"22","Velocisaurus_unicus",10,154.71
"23","Xenotarsosaurus_bonapartei",11,142.46
"24","Rugops_primus",12,142.46
"25","Masiakasaurus_knopfleri",14,170.60999999
"26","Noasaurus_leali",14,168.65999999
"27","Ilokelesia_aguadagrandensis",14,147.0099999963
"28","Abelisaurus_comahuensis",15,159.7099999966
"29","Aucasaurus_garridoi",17,161.8099999969
"30","Carnotaurus_sastrei",17,161.8099999969
"31","Bajo_Barreal_abelisaur",17,146.2599999965
"32","Lameta_abelisaur",17,170.6099999932
"33","Majungasaurus_crenatissimus",17,170.6099999932
"34","Taxon_132",9,93.571047803
"35","Szechuanosaurus_zigongensis",8,72.75999999602
"36","Taxon_3",8,82.4107473603
"37","Afrovenator_abakensis",12,80.10999999332
"38","Piatnitzkysaurus_floresi",12,72.75999999332
"39","Megalosaurus_bucklandii",12,72.45999999332
"40","Poekilopleuron_bucklandii",12,72.45999999332
"41","Taxon_89",10,81.7141062666
"42","Torvosaurus_tanneri",13,88.5099999994
"43","Taxon_5",13,94.3142030369
"44","Dubreuillosaurus_valesdunensis",13,72.4599999999
"45","Eustreptospondylus_oxoniensis",13,75.9099999999
"46","Taxon_177",11,75.4258509366
"47","Duriavenator_hesperis",11,70.8099999966
"48","Chilantaisaurus_tashuikouensis",15,147.8099999916
"49","Taxon_56",15,93.2072246216
"50","Taxon_160",14,87.1797302596
"51","Cristatusaurus_lapparenti",15,123.3349999946
"52","Baryonyx_walkeri",18,109.9849999948
"53","Suchomimus_tenerensis",18,120.0099999948
"54","Irritator_challengeri",18,132.9099999948
"55","Spinosaurus_aegypticus",18,141.1599999948
"56","Taxon_184",16,96.0143283218
"57","Taxon_115",14,97.6350317626
"58","Taxon_16",12,101.4481592166
"59","Lourinhanosaurus_antunesi",12,88.4099999971
"60","Taxon_23",12,97.8884088743
"61","Taxon_43",11,97.2024980769
"62","Monolophosaurus_jiangi",11,74.8599999939
"63","Cryolophosaurus_ellioti",12,48.6599999979
"64","Sinraptor_dongi",14,79.2600000009
"65","Yangchuanosaurus_shangyouensis",15,80.5600000009
"66","Taxon_172",15,85.1478453139
"67","Allosaurus_fragilis",14,88.5100000009
"68","Neovenator_salerii",16,111.1099999959
"69","Acrocanthosaurus_atokensis",17,120.0099999989
"70","Tyrannotitan_chubutensis",18,120.0099999999
"71","Carcharodontosaurus_saharicus",19,141.1600000029
"72","Giganotosaurus_carolinii",20,141.1600000029
"73","Mapusaurus_roseae",20,147.0100000029
"74","Taxon_79",16,86.93204703552
"75","Taxon_186",16,93.72424283652
"76","Fukuiraptor_kitadaniensis",12,111.1099999893
"77","Taxon_114",12,93.2827082893
"78","Taxon_125",11,91.0424727132
"79","Tugulusaurus_faciles",12,129.5849999965
"80","Taxon_83",12,84.1253589865
"81","Magnosaurus_nethercombensis",12,69.8099999998
"82","Siamotyrannus_isanensis",17,117.7600000101
"83","Taxon_112",17,86.9002729701
"84","Taxon_93",16,81.9515683341
"85","Taxon_170",15,75.7037482531
"86","Dilong_paradoxus",17,115.5600000031
"87","Taxon_34",17,79.9212680231
"88","Guanlong_wucaii",18,79.2600000131
"89","Taxon_39",19,85.5659980821
"90","Taxon_101",19,110.4575883011
"91","Dryptosaurus_aquilunguis",24,171.710000015045
"92","Taxon_176",24,115.652506175045
"93","Taxon_169",23,102.20126968092
"94","Taxon_168",22,109.62081225476
"95","Taxon_60",21,96.5136132597
"96","Taxon_53",20,100.7245767702
"97","Taxon_17",19,97.1444565651
"98","Stokesosaurus_clevelandi",18,88.5100000131
"99","Eotyrannus_lengi",20,111.1100000018
"100","Taxon_75",20,87.8089663518
"101","Taxon_9",20,90.8547822087
"102","Taxon_20",22,113.8652501636
"103","Taxon_206",22,94.9100601726
"104","Taxon_95",21,93.8767672487
"105","Alectrosaurus_olseni",21,164.8599999958
"106","Alioramus_remotus",22,170.6099999888
"107","Albertosaurus_sarcophagus",24,164.8600000018
"108","Gorgosaurus_libratus",24,161.8100000018
"109","Appalachiosaurus_montgomeriensis",24,161.8099999948
"110","Two_Medicine_tyrannosaurine",26,161.8099999938
"111","Daspletosaurus_torosus",26,161.8099999938
"112","Tyrannosaurus_rex",26,170.6099999908
"113","Nanotyrannus_lancensis",27,171.7099999918
"114","Tarbosaurus_bataar",27,164.8599999918
"115","Taxon_165",20,95.9960857258
"116","Taxon_126",19,90.1602844538
"117","Taxon_36",17,81.8641812408
"118","Taxon_135",17,98.1585950911
"119","Taxon_166",17,93.3641647211
"120","Nqwebasaurus_thwazi",16,100.2099999964
"121","Taxon_11",17,93.8362294064
"122","Taxon_71",18,108.1573335194
"123","Taxon_139",18,116.1135295694
"124","Gasosaurus_constructus",16,72.7599999964
"125","Nedcolbertia_justinhofmanni",18,111.1099999964
"126","Taxon_148",18,99.4277647164
"127","Huaxiagnathus_orientalis",20,115.5599999942
"128","Taxon_129",20,90.5476556042
"129","Taxon_6",19,83.6325601832
"130","Sinosauropteryx_prima",21,115.55999999
"131","Taxon_67",21,88.20950264
"132","Taxon_30",21,101.700322832
"133","Taxon_80",21,89.763731222
"134","Aristosuchus_pusillus",20,111.1099999954
"135","Compsognathus_longipes",21,89.7599999914
"136","Mirischia_asymmetrica",22,132.9099999904
"137","Taxon_199",22,94.4910692804
"138","Scipionyx_samniticus",20,129.7850000341
"139","Taxon_197",20,115.2345347641
"140","Taxon_29",20,93.6007330871
"141","Taxon_50",21,93.0988882166
"142","Taxon_120",21,93.1164667956
"143","Taxon_24",18,89.7186489837
"144","Taxon_121",18,93.7185861555
"145","Taxon_158",18,85.4095831955
"146","Taxon_207",16,83.5703561927
"147","Xuanhanosaurus_qilixiaensis",18,72.759999995
"148","Taxon_175",18,78.876769013
"149","Proceratosaurus_bradleyi",19,72.4599999788
"150","Taxon_155",19,83.790632573
"151","Deltadromeus_agilis",23,141.159999978
"152","Taxon_84",23,100.208236648
"153","Taxon_62",22,93.669840715
"154","Taxon_40",21,91.401044553
"155","Ornitholestes_hermanni",20,88.509999982
"156","Taxon_123",19,89.643033103
"157","Coelurus_fragilis",19,88.5100000003
"158","Taxon_190",19,108.2092557213
"159","Taxon_127",18,85.6678965193
"160","Pelecanimimus_polyodon",23,112.234999984189
"161","Taxon_150",23,104.208103334189
"162","Taxon_118",22,93.340597581189
"163","Shenzhousaurus_orientalis",24,115.559999993989
"164","Harpymimus_okladnikovi",25,132.909999993989
"165","Garudimimus_brevipes",26,144.509999993989
"166","Archaeornithomimus_asiaticus",27,150.909999993989
"167","Sinornithomimus_dongi",28,147.809999993989
"168","Anserimimus_planinychus",30,166.559999996989
"169","Gallimimus_bullatus",30,166.559999996989
"170","Struthiomimus_altus",30,164.859999992989
"171","Ornithomimus_edmontonicus",31,166.559999992989
"172","Ornithomimus_velox",31,168.509999992989
"173","Taxon_74",23,98.352569673989
"174","Taxon_65",23,109.322442252389
"175","Taxon_174",23,88.900346172389
"176","Taxon_51",21,100.367268275589
"177","Taxon_200",21,85.220487285589
"178","Taxon_152",19,76.4182205796
"179","Bagaraatan_ostromi",25,166.5600000062
"180","Taxon_151",25,102.0635250362
"181","Xinjiangovenator_parvus",25,129.5850000072
"182","Taxon_25",26,94.4637991642
"183","Taxon_185",26,100.7592771182
"184","Taxon_12",24,85.9412167292
"185","Taxon_110",24,92.8743198912
"186","Taxon_96",22,86.6463392242
"187","Taxon_113",21,80.4167245152
"188","Taxon_204",20,82.4845997729
"189","Quarry_9_coelurosaur",23,88.5100000035
"190","Taxon_14",23,90.4191941835
"191","Taxon_64",22,77.0805805295
"192","Nanshiungosaurus_brevispinus",25,164.8599999961
"193","Taxon_164",25,109.6973040461
"194","Taxon_55",24,83.5223074861
"195","Falcarius_utahensis",26,111.1099999932
"196","Taxon_91",26,86.1179394632
"197","Taxon_106",25,89.6732049394
"198","Nothronychus_mckinleyi",30,147.8099999587
"199","Taxon_187",30,98.8209596887
"200","Taxon_136",29,97.0338318177
"201","Taxon_44",28,100.4018166927
"202","Taxon_37",27,86.1892023167
"203","Taxon_94",26,97.6284908727
"204","Beipiaosaurus_inexpectus",28,115.559999997
"205","Taxon_78",29,111.1074563079
"206","Taxon_97",29,94.4958421549
"207","Taxon_32",29,103.72539904
"208","Taxon_54",29,106.70934039
"209","Taxon_146",29,89.751745395
"210","Taxon_182",29,98.679854814
"211","Enigmosaurus_mongoliensis",32,144.5100000251
"212","Taxon_205",32,96.0306907351
"213","Taxon_86",31,106.703696711
"214","Taxon_28",31,103.383042645
"215","Taxon_192",31,91.087782915
"216","Taxon_52",29,98.3872265662
"217","Taxon_144",28,88.8073276993
"218","Eshanosaurus_deguchiianus",28,39.3599999959
"219","Erlikosaurus_andrewsi",30,144.5099999916
"220","Segnosaurus_galbinensis",30,144.5099999916
"221","Taxon_162",29,89.1491937926
"222","Incisivosaurus_gauthieri",23,115.5599999928
"223","Caudipteryx_zoui",25,115.5599999828
"224","El_Brete_oviraptor",25,168.5099999828
"225","Avimimus_portentosus",27,161.8099999968
"226","Chirostenotes_pergracilis",29,165.4599999968
"227","Nomingia_gobiensis",29,166.5599999968
"228","Microvenator_celer",29,126.2599999968
"229","Rinchenia_mongoliensis",31,166.5599999968
"230","Kamyn_Khondt_oviraptorine",32,161.2599999968
"231","Citipati_osmolskae",32,165.4599999968
"232","Khaan_mckennai",31,165.4599999968
"233","Oviraptor_philoceratops",32,165.4599999968
"234","Conchoraptor_gracilis",33,161.8099999968
"235","Ingenia_yanshini",33,161.8099999968
"236","Taxon_195",26,98.5327990868
"237","Taxon_81",26,93.2683664268
"238","Taxon_194",26,98.7118816228
"239","Alvarezsaurus_calvoi",27,154.709999999566
"240","Taxon_66",27,93.874885199566
"241","Patagonykus_puertai",29,149.610000000566
"242","Shuvuuia_deserti",30,165.460000000566
"243","Mononykus_olecranus",31,166.560000004566
"244","Parvicursor_remotus",31,161.810000004566
"245","Taxon_143",28,96.985131823566
"246","Taxon_141",27,94.523669819566
"247","Taxon_18",25,87.409805847566
"248","Taxon_21",24,85.935464477566
"249","Taxon_31",23,84.038087376666
"250","Taxon_147",22,81.1199128862
"251","Gugyedong_maniraptoran",23,123.1349999962
"252","Taxon_149",23,92.9715807262
"253","Protarchaeopteryx_robusta",25,115.5599999967
"254","Taxon_45",27,104.5712130697
"255","Taxon_153",27,108.7107725897
"256","Taxon_72",26,92.4794747797
"257","Taxon_33",24,90.5520321462
"258","Unenlagia_comahuensis",27,149.6099999952
"259","Taxon_154",27,98.7831869052
"260","Taxon_87",26,103.7201844762
"261","Rahonavis_ostromi",27,170.6099999992
"262","Taxon_48",28,90.3907211562
"263","Taxon_77",28,93.1603032922
"264","Archaeopteryx_lithographica",27,89.7599999962
"265","Jinfengopteryx_elegans",29,116.9099999982
"266","Taxon_92",29,93.3358218982
"267","Taxon_76",29,89.6757839042
"268","Taxon_171",29,97.5813852592
"269","Mei_long",27,115.5599999962
"270","Sinovenator_changii",27,115.5599999962
"271","Dornogov_troodontid",27,138.0349999962
"272","Sinornithoides_youngi",28,119.7099999922
"273","Byronosaurus_jaffei",29,161.8099999892
"274","Troodon_formosus",30,164.8599999892
"275","Zanabazar_junior",31,166.5599999892
"276","Saurornithoides_mongoliensis",31,165.4599999892
"277","Neuquenraptor_argentinus",26,149.6099999962
"278","Microraptor_zhaoianus",27,120.0099999962
"279","Sinornithosaurus_millenii",28,115.5599999962
"280","Buitreraptor_gonzalezorum",29,141.1599999962
"281","Adasaurus_mongoliensis",31,166.5599999962
"282","Achillobator_giganticus",32,147.6099999962
"283","Dromaeosaurus_albertensis",33,161.8099999962
"284","Utahraptor_ostrommaysi",33,115.5599999962
"285","Saurornitholestes_langstoni",31,161.8099999962
"286","Tsaagan_mangas",33,161.8099999962
"287","Velociraptor_mongoliensis",33,161.8099999962
"288","Bambiraptor_feinbergorum",33,161.8099999962
"289","Deinonychus_antirrhopus",34,126.2599999962
"290","Atrociraptor_marshalli",34,166.5599999962
