"","species","nodecount","time"
"1","Staurikosaurus_pricei",3,6.96
"2","Herrerasaurus_ischigualastensis",4,6.96
"3","Chindesaurus_bryansmalli",4,16.41
"4","Eoraptor_lunensis",3,6.96
"5","Guaibasaurus_candelariensis",4,20.71
"6","Sarcosaurus_woodi",7,42.485
"7","Zupaysaurus_rougieri",7,20.71
"8","Dilophosaurus_wetherilli",7,48.66
"9","Gojirasaurus_quayi",8,20.71
"10","Lophostropheus_airelensis",10,35.26
"11","Liliensternus_liliensterni",10,34.26
"12","Procompsognathus_triassicus",10,20.71
"13","Coelophysis_rhodesiensis",11,43.609999997
"14","Coelophysis_bauri",12,24.810000001
"15","Segisaurus_halli",12,57.210000004
"16","Elaphrosaurus_bambergi",7,89.76
"17","Ceratosaurus_nasicornis",11,88.510000003
"18","Taxon_31",11,85.801415413
"19","Taxon_2",10,101.66863207
"20","Spinostropheus_gautieri",9,80.11000001
"21","Velocisaurus_unicus",9,154.71
"22","Xenotarsosaurus_bonapartei",10,142.46
"23","Rugops_primus",11,142.46
"24","Masiakasaurus_knopfleri",13,170.60999999
"25","Noasaurus_leali",13,168.65999999
"26","Ilokelesia_aguadagrandensis",13,147.0099999963
"27","Abelisaurus_comahuensis",14,159.7099999966
"28","Aucasaurus_garridoi",16,161.8099999969
"29","Carnotaurus_sastrei",16,161.8099999969
"30","Bajo_Barreal_abelisaur",16,146.2599999965
"31","Lameta_abelisaur",16,170.6099999932
"32","Majungasaurus_crenatissimus",16,170.6099999932
"33","Szechuanosaurus_zigongensis",7,72.7599999933
"34","Afrovenator_abakensis",11,80.1099999966
"35","Piatnitzkysaurus_floresi",11,72.7599999966
"36","Megalosaurus_bucklandii",11,72.4599999966
"37","Poekilopleuron_bucklandii",11,72.4599999966
"38","Torvosaurus_tanneri",11,88.5099999966
"39","Dubreuillosaurus_valesdunensis",12,72.4599999966
"40","Eustreptospondylus_oxoniensis",12,75.9099999966
"41","Duriavenator_hesperis",11,70.8099999966
"42","Chilantaisaurus_tashuikouensis",14,147.8099999916
"43","Taxon_15",14,90.0503662816
"44","Cristatusaurus_lapparenti",14,123.3349999926
"45","Baryonyx_walkeri",16,109.9849999926
"46","Suchomimus_tenerensis",16,120.0099999926
"47","Irritator_challengeri",16,132.9099999926
"48","Spinosaurus_aegypticus",16,141.1599999926
"49","Taxon_8",12,87.7584611966
"50","Lourinhanosaurus_antunesi",10,88.4099999969
"51","Monolophosaurus_jiangi",13,74.8599999979
"52","Taxon_33",13,80.8565576259
"53","Taxon_41",12,111.2881702839
"54","Cryolophosaurus_ellioti",12,48.6599999979
"55","Sinraptor_dongi",14,79.2600000009
"56","Yangchuanosaurus_shangyouensis",14,80.5600000009
"57","Allosaurus_fragilis",14,88.5100000009
"58","Neovenator_salerii",15,111.1100000009
"59","Acrocanthosaurus_atokensis",16,120.0100000039
"60","Tyrannotitan_chubutensis",17,120.0100000049
"61","Carcharodontosaurus_saharicus",18,141.1600000079
"62","Giganotosaurus_carolinii",19,141.1600000079
"63","Mapusaurus_roseae",19,147.0100000079
"64","Fukuiraptor_kitadaniensis",11,111.1099999932
"65","Taxon_6",11,112.3279508032
"66","Tugulusaurus_faciles",13,129.5849999965
"67","Taxon_23",13,94.8535402595
"68","Taxon_37",12,87.6736848165
"69","Magnosaurus_nethercombensis",12,69.8099999998
"70","Siamotyrannus_isanensis",14,117.7600000031
"71","Dilong_paradoxus",17,115.5600000031
"72","Taxon_25",17,109.4024849931
"73","Guanlong_wucaii",17,79.2600000131
"74","Dryptosaurus_aquilunguis",18,171.7100000131
"75","Stokesosaurus_clevelandi",18,88.5100000131
"76","Eotyrannus_lengi",17,111.1100000011
"77","Taxon_9",17,95.2574310811
"78","Alectrosaurus_olseni",18,164.8600000011
"79","Alioramus_remotus",19,170.6099999941
"80","Albertosaurus_sarcophagus",21,164.8600000071
"81","Gorgosaurus_libratus",21,161.8100000071
"82","Appalachiosaurus_montgomeriensis",21,161.8100000001
"83","Two_Medicine_tyrannosaurine",23,161.8099999991
"84","Daspletosaurus_torosus",23,161.8099999991
"85","Tyrannosaurus_rex",23,170.6099999961
"86","Nanotyrannus_lancensis",24,171.7099999971
"87","Tarbosaurus_bataar",24,164.8599999971
"88","Taxon_7",18,98.5731192821
"89","Taxon_36",18,94.8372444121
"90","Nqwebasaurus_thwazi",16,100.2099999964
"91","Taxon_4",16,84.7155457264
"92","Gasosaurus_constructus",16,72.7599999964
"93","Nedcolbertia_justinhofmanni",18,111.1099999974
"94","Huaxiagnathus_orientalis",19,115.5599999904
"95","Sinosauropteryx_prima",21,115.5599999894
"96","Taxon_24",21,90.8673842494
"97","Aristosuchus_pusillus",21,111.1099999964
"98","Compsognathus_longipes",22,89.7599999924
"99","Mirischia_asymmetrica",22,132.9099999894
"100","Taxon_12",17,85.7456003764
"101","Scipionyx_samniticus",17,129.7850000347
"102","Taxon_27",17,98.2800313647
"103","Taxon_22",16,83.2547939297
"104","Xuanhanosaurus_qilixiaensis",17,72.759999993
"105","Proceratosaurus_bradleyi",18,72.459999983
"106","Deltadromeus_agilis",20,141.159999985
"107","Taxon_34",20,90.203497428
"108","Ornitholestes_hermanni",19,88.509999983
"109","Coelurus_fragilis",19,88.5099999933
"110","Taxon_10",19,103.5875473123
"111","Taxon_21",18,92.1290985363
"112","Pelecanimimus_polyodon",22,112.2349999889
"113","Taxon_3",22,99.9927707589
"114","Taxon_13",21,80.2854530589
"115","Shenzhousaurus_orientalis",22,115.5599999856
"116","Harpymimus_okladnikovi",23,132.9099999856
"117","Garudimimus_brevipes",24,144.5099999856
"118","Archaeornithomimus_asiaticus",25,150.9099999856
"119","Sinornithomimus_dongi",26,147.8099999856
"120","Anserimimus_planinychus",28,166.5599999886
"121","Gallimimus_bullatus",28,166.5599999886
"122","Struthiomimus_altus",28,164.8599999846
"123","Ornithomimus_edmontonicus",29,166.5599999846
"124","Ornithomimus_velox",29,168.5099999846
"125","Taxon_35",21,117.6347914456
"126","Taxon_1",19,80.1064105796
"127","Bagaraatan_ostromi",20,166.5600000029
"128","Xinjiangovenator_parvus",21,129.5849999979
"129","Taxon_5",21,103.2714007379
"130","Quarry_9_coelurosaur",21,88.5099999995
"131","Nanshiungosaurus_brevispinus",24,164.8599999961
"132","Taxon_30",24,104.7262279961
"133","Falcarius_utahensis",25,111.1099999994
"134","Taxon_42",25,106.3301728694
"135","Nothronychus_mckinleyi",27,147.8099999677
"136","Taxon_39",27,124.6217083177
"137","Taxon_11",27,123.116934007
"138","Taxon_18",27,108.362108317
"139","Beipiaosaurus_inexpectus",27,115.559999996
"140","Taxon_14",27,114.590239616
"141","Enigmosaurus_mongoliensis",27,144.5100000293
"142","Eshanosaurus_deguchiianus",28,39.3599999959
"143","Erlikosaurus_andrewsi",29,144.5099999926
"144","Segnosaurus_galbinensis",29,144.5099999926
"145","Incisivosaurus_gauthieri",24,115.5599999928
"146","Taxon_20",24,98.3283006028
"147","Caudipteryx_zoui",25,115.5599999828
"148","El_Brete_oviraptor",25,168.5099999828
"149","Avimimus_portentosus",25,161.8099999928
"150","Chirostenotes_pergracilis",27,165.4599999928
"151","Nomingia_gobiensis",27,166.5599999928
"152","Microvenator_celer",27,126.2599999928
"153","Rinchenia_mongoliensis",29,166.5599999928
"154","Kamyn_Khondt_oviraptorine",30,161.2599999928
"155","Citipati_osmolskae",30,165.4599999928
"156","Khaan_mckennai",29,165.4599999928
"157","Oviraptor_philoceratops",30,165.4599999928
"158","Conchoraptor_gracilis",31,161.8099999928
"159","Ingenia_yanshini",31,161.8099999928
"160","Alvarezsaurus_calvoi",22,154.7099999962
"161","Patagonykus_puertai",24,149.6099999963
"162","Shuvuuia_deserti",25,165.4599999963
"163","Mononykus_olecranus",26,166.5600000003
"164","Parvicursor_remotus",26,161.8100000003
"165","Taxon_17",24,104.603200162
"166","Taxon_40",24,92.467736102
"167","Gugyedong_maniraptoran",24,123.1349999942
"168","Taxon_26",24,87.4068208842
"169","Taxon_32",23,104.9398180062
"170","Protarchaeopteryx_robusta",24,115.5599999962
"171","Taxon_28",24,98.5915444562
"172","Unenlagia_comahuensis",26,149.6099999962
"173","Taxon_16",28,108.3672763282
"174","Taxon_38",28,100.8134518582
"175","Taxon_29",27,96.4641295492
"176","Rahonavis_ostromi",26,170.6099999962
"177","Archaeopteryx_lithographica",27,89.7599999962
"178","Jinfengopteryx_elegans",27,116.9099999962
"179","Mei_long",28,115.5599999982
"180","Sinovenator_changii",28,115.5599999982
"181","Dornogov_troodontid",28,138.0349999982
"182","Sinornithoides_youngi",29,119.7099999942
"183","Byronosaurus_jaffei",30,161.8099999912
"184","Troodon_formosus",31,164.8599999912
"185","Zanabazar_junior",32,166.5599999912
"186","Saurornithoides_mongoliensis",32,165.4599999912
"187","Neuquenraptor_argentinus",27,149.6099999982
"188","Microraptor_zhaoianus",28,120.0099999982
"189","Sinornithosaurus_millenii",29,115.5599999982
"190","Buitreraptor_gonzalezorum",30,141.1599999982
"191","Adasaurus_mongoliensis",32,166.5599999982
"192","Achillobator_giganticus",33,147.6099999982
"193","Dromaeosaurus_albertensis",34,161.8099999982
"194","Utahraptor_ostrommaysi",34,115.5599999982
"195","Saurornitholestes_langstoni",32,161.8099999982
"196","Tsaagan_mangas",34,161.8099999982
"197","Velociraptor_mongoliensis",34,161.8099999982
"198","Bambiraptor_feinbergorum",34,161.8099999982
"199","Deinonychus_antirrhopus",35,126.2599999982
"200","Atrociraptor_marshalli",35,166.5599999982
"201","Taxon_19",25,96.7037122762
