,species,nodecount,time
1,Lesothosaurus_diagnosticus,2,1
2,Scelidosaurus_harrisonii,3,8.94187591
3,Huayangosaurus_taibaii,4,35.13118223
4,Minmi_sp.,6,71.51345741
5,Hylaeosaurus_armatus,7,65.96557691
6,Aletopelta_coombsi,9,129.9581049
7,Liaoningosaurus_paradoxus,9,72.32281625
8,Cedarpelta_bilbeyhallorum,10,94.39267681
9,Chuanqilong_chaoyangensis,10,86.27564101
10,Gobisaurus_domoculus,10,109.3925912
11,Shamosaurus_scutatus,10,90.09717595
12,Crichtonpelta_benxiensis,10,106.9378698
13,Pinacosaurus_grangeri,12,128.817795
14,Pinacosaurus_mephistocephalus,12,125.9410206
15,Zhejiangosaurus_luoyangensis,12,110.4868049
16,Tsagantegia_longicranialis,12,104.1142299
17,Talarurus_plicatospineus,14,108.4273663
18,Nodocephalosaurus_kirtlandensis,14,124.5883978
19,Saichania_chulsanensis,15,127.0467546
20,Tarchia_kielanae,16,119.1937021
21,Zaraapelta_nomadis,16,114.9349162
22,Dyoplosaurus_acutosquameus,14,118.8768581
23,Ankylosaurus_magniventris,15,135.150881
24,Anodontosaurus_lambei,15,133.3491277
25,Scolosaurus_cutleri,15,119.3490162
26,Euoplocephalus_tutus,15,119.7046792
27,Ziapelta_sanjuanensis,15,118.8331401
28,Dongyangopelta_yangyanensis,7,106.6461802
29,Mymoorapelta_maysi,7,48.24524859
30,Gastonia_burgei,7,72.48089266
31,Gargoyleosaurus_parkpinorum,8,46.91338717
32,Polacanthus_foxii,10,77.2106497
33,Hoplitosaurus_marshi,10,75.32152313
34,Peloroplites_cedrimontanus,10,83.02863692
35,Sauroplites_scutiger,12,79.11587052
36,Taohelong_jinchengensis,12,58.95350973
37,Sauropelta_edwardsi,12,89.26321982
38,Tatankacephalus_cooneyorum,13,89.91085191
39,Silvisaurus_condrayi,14,96.71770372
40,Animantarx_ramaljonesi,16,100.2899014
41,Panoplosaurus_mirus,17,125.3200381
42,Denversaurus_schlessmani,18,135.3749866
43,Argentinian_ankylosaur,18,120.3301451
44,Edmontonia_longiceps,18,132.1364379
45,Edmontonia_rugosidens,18,135.4391798
46,Texasetes_pleurohalio,18,100.3353373
47,Nodosaurus_textilis,16,103.4579728
48,Paw_Paw_scuteling,18,98.9279863
49,Ahshislepelta_minor,18,120.5351932
50,Niobrarasaurus_coleii,18,117.1812834
51,Hungarosaurus_tormai,19,117.7785124
52,Europelta_carbonensis,20,90.86415481
53,Pawpawsaurus_campbelli,20,96.96852611
54,Struthiosaurus_languedocensis,19,128.54855
55,Stegopelta_landerensis,19,97.18157931
56,Struthiosaurus_austriacus,20,126.0323417
57,Struthiosaurus_transylvanicus,20,134.5541552
