"","species","nodecount","time"
"1","Lesothosaurus_diagnosticus",2,3.723866249
"2","Scelidosaurus_harrisonii",3,2
"3","Huayangosaurus_taibaii",4,32.1049866
"4","Minmi_sp.",6,72.209109847
"5","Hylaeosaurus_armatus",7,62.961297027
"6","Aletopelta_coombsi",9,124.674723577
"7","Liaoningosaurus_paradoxus",9,75.702372337
"8","Cedarpelta_bilbeyhallorum",10,90.057585669
"9","Chuanqilong_chaoyangensis",10,82.807313753
"10","Gobisaurus_domoculus",10,107.167816446
"11","Shamosaurus_scutatus",10,84.436270476
"12","Crichtonpelta_benxiensis",10,108.83021161
"13","Pinacosaurus_grangeri",12,118.91009204
"14","Pinacosaurus_mephistocephalus",12,116.40575145
"15","Zhejiangosaurus_luoyangensis",12,106.18599368
"16","Tsagantegia_longicranialis",12,103.9459441
"17","Talarurus_plicatospineus",14,106.62106447
"18","Nodocephalosaurus_kirtlandensis",14,119.34040765
"19","Saichania_chulsanensis",15,123.51455989
"20","Tarchia_kielanae",16,124.69705216
"21","Zaraapelta_nomadis",16,98.35421261
"22","Dyoplosaurus_acutosquameus",14,116.06182702
"23","Ankylosaurus_magniventris",15,130.656586575
"24","Anodontosaurus_lambei",15,129.44790242
"25","Scolosaurus_cutleri",15,120.917449591
"26","Euoplocephalus_tutus",15,118.558986502
"27","Ziapelta_sanjuanensis",15,125.0355442
"28","Dongyangopelta_yangyanensis",7,98.196987907
"29","Mymoorapelta_maysi",7,51.180927697
"30","Gastonia_burgei",7,72.139612907
"31","Gargoyleosaurus_parkpinorum",8,41.924148087
"32","Polacanthus_foxii",10,71.685363799
"33","Hoplitosaurus_marshi",10,70.152701867
"34","Peloroplites_cedrimontanus",10,82.788328666
"35","Sauroplites_scutiger",12,85.425382482
"36","Taohelong_jinchengensis",12,86.272863328
"37","Sauropelta_edwardsi",12,91.895783314
"38","Tatankacephalus_cooneyorum",13,93.854891774
"39","Silvisaurus_condrayi",14,86.78237487
"40","Animantarx_ramaljonesi",16,94.670509804
"41","Panoplosaurus_mirus",17,115.242072182
"42","Denversaurus_schlessmani",18,131.345107482
"43","Argentinian_ankylosaur",18,131.993859752
"44","Edmontonia_longiceps",18,131.869755922
"45","Edmontonia_rugosidens",18,130.382295892
"46","Texasetes_pleurohalio",18,98.731930312
"47","Nodosaurus_textilis",16,104.819376494
"48","Paw_Paw_scuteling",18,95.133166724
"49","Ahshislepelta_minor",18,123.231509324
"50","Niobrarasaurus_coleii",18,113.570186334
"51","Hungarosaurus_tormai",19,113.060769214
"52","Europelta_carbonensis",20,88.098500684
"53","Pawpawsaurus_campbelli",20,98.290499134
"54","Struthiosaurus_languedocensis",19,115.283756854
"55","Stegopelta_landerensis",19,105.096757764
"56","Struthiosaurus_austriacus",20,127.773871774
"57","Struthiosaurus_transylvanicus",20,132.467602689
