"","species","nodecount","time"
"1","Plateosaurus_engelhardti",2,11.60108103
"2","Chinshakiangosaurus_chunghoensis",3,27.83761603
"3","Mussaurus_patagonicus",4,9.578871946
"4","Antetonitrus_ingenipes",5,4
"5","Lessemsaurus_sauropoides",6,9.092861264
"6","Gongxianosaurus_shibeiensis",7,50.158744907
"7","Amygdalodon_patagonicus",7,53.976835457
"8","Isanosaurus_attavipachi",7,12.421288877
"9","Vulcanodon_karibaensis",8,40.832275943
"10","Tazoudasaurus_naimi",8,43.859407177
"11","Barapasaurus_tagorei",9,32.954188447
"12","Cetiosaurus_oxoniensis",9,58.633758197
"13","Shunosaurus_lii",10,67.902161137
"14","Patagosaurus_fariasi",11,59.030562834
"15","Omeisaurus",13,56.494251197
"16","Mamenchisaurus",13,78.055212527
"17","Turiasaurus_riodevensis",13,76.215414927
"18","Losillasaurus_giganteus",13,83.427323715
"19","Jobaria_tiguidensis",13,57.936491791
"20","Haplocanthosaurus_priscus",13,74.712428761
"21","Camarasaurus",14,73.962471957
"22","Bellusaurus_sui",14,69.311459341
"23","Galvesaurus_herreroi",15,71.864805164
"24","Tehuelchesaurus_benitezii",15,82.012551654
"25","Europasaurus_holgeri",15,74.452388199
"26","Tastavinsaurus_sanzi",15,105.172029374
"27","Euhelopus_zdanskyi",15,94.352348624
"28","Brachiosaurus_altithorax",15,74.662561259
"29","Giraffatitan_brancai",15,76.692639339
"30","Abydosaurus_mcintoshi",15,128.433855174
"31","Padillasaurus_leivaensis",15,101.447640094
"32","Sauroposeidon_proteles",15,120.012248454
"33","Venenosaurus_dicrocei",15,102.404708514
"34","Cedarosaurus_weiskopfe",15,101.691116864
"35","Lusotitan_atalaiensis",15,77.434746755
"36","Erketu_ellisoni",15,140.016863434
"37","Qiaowanlong_kangxii",15,126.924202644
"38","Phuwiangosaurus_sirindhornae",15,113.135042874
"39","Chubutisaurus_insignis",15,117.217877964
"40","Ligabuesaurus_lenzai",15,118.230110804
"41","Wintonotitan_wattsi",15,131.201168834
"42","Malarguesaurus_florenciae",15,140.597863364
"43","Andesaurus_delgadoi",15,132.263390404
"44","Dreadnoughtus",15,157.889016054
"45","Epachthosaurus_sciuttoi",15,136.355378034
"46","Malawisaurus_dixeyi",15,109.320154004
"47","Isisaurus_colberti",15,161.617069084
"48","Nemegtosaurus_mongoliensis",15,147.894243284
"49","Rapetosaurus_krausei",15,156.800634034
"50","Tapuiasaurus_macedoi",15,104.290991874
"51","Trigonosaurus_pricei",15,161.633915004
"52","Alamosaurus_sanjuanensis",15,162.495844244
"53","Opisthocoelicaudia_skarzynskii",15,160.884551434
"54","Neuquensaurus_australis",15,157.933154464
"55","Saltasaurus_loricatus",15,158.954322324
"56","Notocolossus_gonzalesparejasi",15,139.846621494
"57","Baurutitan_britoi",15,162.271478494
"58","Rinconsaurus_caudamirus",15,143.868387244
"59","Muyelensaurus_pecheni",15,142.957342184
"60","Aeolosaurus_maximus",15,156.293772954
"61","Overosaurus_paradasorum",15,144.465726324
"62","Mendozasaurus_neguyelap",15,139.608502614
"63","Ruyangosaurus_giganteus",15,130.759669594
"64","Futalongkosaurus_dukei",15,137.551432714
"65","Quetecsaurus_rusconii",15,138.213542754
"66","Puertasaurus_reuili",15,158.502276394
"67","Drusilasaura_deseadensis",15,130.661213774
"68","Bonitasaura_salgadoi",15,154.152897734
"69","Patagotitan_mayorum",16,126.992842154
"70","Argentinosaurus_hunculensis",16,137.425451784
"71","Amazonsaurus_maranhensis",15,122.291225651
"72","Zapalasaurus_bonapartei",16,105.776291392
"73","Histriasaurus_bocardeli",16,99.171292801
"74","Comahuesaurus_windhanseni",17,115.977723664
"75","Rayososaurus_agrioensis",19,134.156103914
"76","Rebbachisaurus_garasbae",19,121.356052024
"77","Cathartesaura_anaerobica",20,131.783454994
"78","Limaysaurus_tessonei",20,131.732573984
"79","Demandasaurus_darwini",19,102.951346704
"80","Nigersaurus_taqueti",19,123.774292464
"81","Suwassea_emiliae",16,77.551470763
"82","Amargasaurus_cazaui",17,102.323431547
"83","Dicraeosaurus_hansemanni",18,76.783028247
"84","Brachytrachelopan_messai",18,78.106418896
"85","Apatosaurus",16,79.786606315
"86","Diplodocus",17,79.845376157
"87","Barosaurus_lentus",17,73.087239551
