"","species","nodecount","time"
"1","Allosaurus_fragilis",2,32.37895905
"2","Sinraptor_dongi",3,14.90068172
"3","Bicentenaria",4,80.09008613
"4","Tugulusaurus",5,67.16644317
"5","Zuolong",5,18.8746266
"6","Ornitholestes_hermanni",6,24.80162458
"7","Mahakala_omnogovae",12,100.79364308
"8","Tianyuraptor_ostromi",14,51.222762858
"9","Sinornithosaurus_millenii",14,50.031530276
"10","Microraptor_zhaoianus",14,59.21042175
"11","Graciliraptor_lujiatunensis",14,54.06937862
"12","Dromaeosaurus_albertensis",15,102.47708789
"13","Tsaagan_mangas",15,103.65923486
"14","Bambiraptor_feinbergorum",15,98.10140561
"15","Atrociraptor_marshalli",15,110.60637463
"16","Utahraptor",15,50.84917914
"17","Achillobator_giganticus",15,85.48352068
"18","Saurornitholestes_langstoni",15,102.71380942
"19","Deinonychus_antirrhopus",16,66.20623364
"20","Velociraptor_mongoliensis",17,99.35689089
"21","Adasaurus_mongoliensis",17,107.929161764
"22","Rahonavis_ostromi",14,108.64809522
"23","Buitreraptor_gonzalozorum",15,83.12420279
"24","Neuquenraptor_plus_Unenlagia",16,87.535973953
"25","Austroraptor",16,94.61686686
"26","Archaeopteryx_lithographica",12,29.96423531
"27","Balaur_bondoc",14,107.29432027
"28","Sapeornis",14,55.81923366
"29","Jeholornis_prima",14,59.68865789
"30","Jixiangornis_orientalis",15,54.05949167
"31","Confuciusornis_sanctus",16,48.465770894
"32","Patagopteryx_deferrariisi",18,92.941075942
"33","Hongshanornis_longicrest",19,59.344486458
"34","Yanornis_martini",20,52.754396572
"35","Yixianornis",20,58.529916811
"36","Songlingornis",20,55.644079735
"37","Apsaravis_ukhaana",21,95.880382162
"38","Hesperornis",22,101.415921982
"39","Baptornis",22,87.826369742
"40","Ichthyornis",22,97.187411432
"41","Iaceornis_marshii",22,100.284251342
"42","Limenavis_patagonica",22,96.459546274
"43","Lithornis",22,123.889190122
"44","Gobipteryx",19,100.06926168
"45","Pengornis_houi",19,56.79800986
"46","Neuquenornis_volans",20,93.06729562
"47","Cathayornis",21,54.065799767
"48","Concornis",21,49.38270911
"49","Vorona",19,106.367934802
"50","Liaoningornis_longidigitus",19,53.166275312
"51","Xixiasaurus",13,90.62540365
"52","Byronosaurus_jaffei",13,99.06692359
"53","Mei_long",13,52.188431108
"54","Sinovenator_changii",13,52.464347493
"55","EK_troodontid_IGM_100_slash_44",13,51.680352143
"56","Sinornithoides_youngi",14,66.3745276
"57","Troodon_formosus",15,96.52015186
"58","Saurornithoides_mongoliensis",16,104.884140969
"59","Zanabazar_junior",16,106.383293974
"60","IGM_100_slash_1323",14,106.19395744
