"","species","nodecount","time"
"1","Allosaurus_fragilis",2,33.50839244
"2","Sinraptor_dongi",3,21.12072103
"3","Bicentenaria",4,81.64334606
"4","Tugulusaurus",5,64.32356012
"5","Zuolong",5,18.65506617
"6","Ornitholestes_hermanni",6,32.03896181
"7","Mahakala_omnogovae",12,96.11729086
"8","Tianyuraptor_ostromi",14,51.034740087
"9","Sinornithosaurus_millenii",14,50.850067684
"10","Microraptor_zhaoianus",14,64.76131148
"11","Graciliraptor_lujiatunensis",14,53.553898751
"12","Dromaeosaurus_albertensis",15,101.0557683
"13","Tsaagan_mangas",15,99.92430251
"14","Bambiraptor_feinbergorum",15,104.33499662
"15","Atrociraptor_marshalli",15,111.34623464
"16","Utahraptor",15,51.42240539
"17","Achillobator_giganticus",15,90.23373111
"18","Saurornitholestes_langstoni",15,97.84600255
"19","Deinonychus_antirrhopus",16,59.990052294
"20","Velociraptor_mongoliensis",17,106.018246154
"21","Adasaurus_mongoliensis",17,107.157728479
"22","Rahonavis_ostromi",14,106.93336614
"23","Buitreraptor_gonzalozorum",15,80.21314947
"24","Neuquenraptor_plus_Unenlagia",16,90.028824909
"25","Austroraptor",16,102.673729239
"26","Archaeopteryx_lithographica",12,28.65408826
"27","Balaur_bondoc",14,112.14912868
"28","Sapeornis",14,62.85345319
"29","Jeholornis_prima",14,59.32802682
"30","Jixiangornis_orientalis",15,56.33707259
"31","Confuciusornis_sanctus",16,54.6435495
"32","Patagopteryx_deferrariisi",18,95.269714469
"33","Hongshanornis_longicrest",19,58.128409659
"34","Yanornis_martini",20,62.76435693
"35","Yixianornis",20,65.883521646
"36","Songlingornis",20,63.847901453
"37","Apsaravis_ukhaana",21,102.0384639
"38","Hesperornis",22,89.832264884
"39","Baptornis",22,94.266258416
"40","Ichthyornis",22,85.77295056
"41","Iaceornis_marshii",22,100.809101
"42","Limenavis_patagonica",22,98.71763746
"43","Lithornis",22,125.27811995
"44","Gobipteryx",19,105.56153345
"45","Pengornis_houi",19,59.59787027
"46","Neuquenornis_volans",20,94.61822209
"47","Cathayornis",21,61.30640091
"48","Concornis",21,52.28471979
"49","Vorona",19,108.610920928
"50","Liaoningornis_longidigitus",19,54.764753198
"51","Xixiasaurus",13,91.59614986
"52","Byronosaurus_jaffei",13,98.8356091
"53","Mei_long",13,56.227422518
"54","Sinovenator_changii",13,54.006657873
"55","EK_troodontid_IGM_100_slash_44",13,78.37936584
"56","Sinornithoides_youngi",14,71.00042909
"57","Troodon_formosus",15,93.67439656
"58","Saurornithoides_mongoliensis",16,100.661404566
"59","Zanabazar_junior",16,112.628910666
"60","IGM_100_slash_1323",14,107.89411023
"61","Jinfengopteryx_elegans",15,51.78995643
"62","IGM_100_slash_1126",15,56.95312457
"63","Anchiornis_huxleyi",13,17.151994541
"64","Xiaotingia",13,13.872744985
"65","Aurornis",13,12
"66","Eosinopteryx",13,22.46605913
"67","Epidexipteryx",11,15.507749508
"68","Incisivosaurus_gauthieri",12,54.93269566
"69","Microvenator_celer",13,75.163833608
"70","Caudipteryx_zoui",13,50.154503248
"71","Avimimus_portentosus",13,105.413739498
"72","Chirostenotes_pergracilis",14,102.336624982
"73","Citipati_osmolskae",15,97.377282406
"74","Oviraptor_philoceratops",15,103.096883588
"75","Ingenia_yanshani",15,97.281162998
"76","Rinchenia_mongoliensis",15,108.901810758
"77","Conchoraptor_gracilis",15,101.311339021
"78","Falcarius",10,49.60331428
"79","Beipiaosaurus",11,53.588678098
"80","Alxasaurus_elesitaiensis",12,57.085894446
"81","Erliansaurus",13,103.533817445
"82","Segnosaurus_galbinensis",14,86.928030675
"83","Erlikosaurus_andrewsi",14,80.511423665
"84","Neimongosaurus",14,98.716799645
"85","Suzhousaurus",14,56.680514635
"86","Nothronychus",14,85.221155655
"87","Enigmosaurus",14,78.609580955
"88","Nanshiungosaurus_brevispinus",14,110.072218295
"89","Therizinosaurus",14,108.966724645
"90","Haplocheirus",10,18.28927621
"91","Achillesaurus",11,95.332091387
"92","Alvarezsaurus_calvoi",12,92.957871341
"93","Patagonykus_puertai",14,91.651103333
"94","Bonapartenykus",14,109.751263803
"95","Mononykus_olecranus",14,112.17985443
"96","Shuvuuia_deserti",14,98.330583743
"97","Parvicursor",14,106.809107
"98","Albertonykus",14,112.78449469
"99","Ceratonykus",14,105.70412501
"100","Linhenykus",14,100.57972733
"101","Albinykus",15,93.965520558
"102","Xixianykus",15,90.57416481
"103","Nqwebasaurus",9,39.13817023
"104","Pelecanimimus_polydon",10,49.99122888
"105","Shenzhousaurus_orientalis",11,51.792935131
"106","Beishanlong",12,73.593669341
"107","Archaeornithomimus_asiati",13,104.858889143
"108","Garudimimus_brevipes",13,81.667524488
"109","Harpymimus_okladnikovi",13,77.100070323
"110","Sinornithomimus",13,85.387830531
"111","Ornithomimus_edmonticus",15,101.488132068
"112","Struthiomimus_altus",15,96.547173488
"113","Qiupalong",15,84.490036588
"114","Anserimimus_planinychus",15,111.135791078
"115","Gallimimus_bullatus",15,98.283954578
"116","Huaxiagnathus_orientalis",8,49.56921798
"117","Sinosauropteryx_prima",8,53.13630599
"118","Compsognathus_longipes",8,31.56118599
"119","Juravenator_starki",8,23.59767998
"120","Sinocalliopteryx",8,54.99659507
"121","Mirischia",8,72.95970518
"122","Coelurus_fragilis",7,29.273687309
"123","Tanycolagreus",7,22.34295961
"124","Dilong_paradoxus",7,55.92847654
"125","Kileskus",8,12.344702159
"126","Guanlong",9,15.709169923
"127","Sinotyrannus",9,54.01210755
"128","Proceratosaurus_bradleyi",9,12.43483109
"129","Eotyrannus_lengi",8,49.41962681
"130","Juratyrant",8,31.98509899
"131","Xiongguanlong",8,77.96041418
"132","Dryptosaurus",9,112.75982955
"133","Appalachiosaurus",10,106.4033786
"134","Bistahieversor",11,104.414590874
"135","Albertosaurus_sacrophagus",13,112.426742343
"136","Gorgosaurus_libratus",13,106.201802605
"137","Alioramus",13,109.43031978
"138","Teratophoneus",14,99.15868576
"139","Daspletosaurus",15,107.852310646
"140","Tyrannosaurus_rex",16,107.22426286
"141","Tarbosaurus_baatar",16,110.121680325
