"","species","nodecount","time"
"1","Leptoceratops_gracilis",2,28.05472512
"2","Protoceratops_andrewsi",4,20.877355376
"3","Magnirostris_dodsoni",5,17.1660757
"4","Bagaceratops_rozhdestvenskyi",5,17.303108529
"5","Turanoceratops_tardabilis",4,4.401390993
"6","Zuniceratops_christopheri",4,3
"7","Chasmosaurus_belli",6,16.495594401
"8","Pentaceratops_sternbergii",6,15.775244293
"9","Diabloceratops_eatoni",6,20.767451387
"10","Albertaceratops_nesmoi",6,20.585215267
"11","Xenoceratops_foremostensis",6,18.972707157
"12","Machairoceratops_cronusi",6,15.941458899
"13","Medusaceratops_lokii",6,21.576641307
"14","Rubeosaurus_ovatus",9,14.403643275
"15","Styracosaurus_albertensis",9,12.212872553
"16","Spinops_sternbergorum",9,14.775149731
"17","Centrosaurus_apertus",9,17.281733565
"18","Coronosaurus_brinkmani",9,16.671582043
"19","Einiosaurus_procurvicornis",8,19.241187577
"20","Achelousaurus_horneri",9,19.329912533
"21","Pachyrhinosaurus_canadensis",10,13.957470598
"22","Pachyrhinosaurus_lakustai",11,12.454383927
"23","Pachyrhinosaurus_perotorum",11,27.114494677
"24","Sinoceratops_zhuchengensis",7,15.088553995
"25","Wendiceratops_pinhornensis",7,16.09432982
"26","ANSP15400",7,17.284695385
"27","MOR692",7,18.284695385
"28","Nasutoceratops_titusi",7,20.176835163
"29","CMN8804",7,18.284695385
"30","Malta_New_Taxon",7,17.284695385
