"","species","nodecount","time"
"1","Ouranosaurus_nigeriensis_",2,28.63290712
"2","Jinzhousaurus_yangi",4,13.385367861
"3","Equijubus_normani",5,8.863212717
"4","Xuwulong_yueluni",5,27.670108407
"5","Eolambia_caroljonesa",6,32.156505252
"6","Jintasaurus_meniscus",6,24.029982097
"7","Probactrosaurus_gobiensis",6,31.596780364
"8","Protohadros_byrdi",6,41.041859897
"9","Levnesovia_transoxiana",7,43.312720493
"10","Tanius_sinensis",7,54.301123823
"11","Bactrosaurus_johnsoni",8,60.941683353
"12","Gilmoreosaurus_mongoliensis",9,57.155428993
"13","Claosaurus_agilis",10,61.794084133
"14","Nanningosaurus_dashiensis",10,57.685103383
"15","Shuangmiaosaurus_gilmorei",10,33.423874433
"16","Nanyangosaurus_zhugeii",12,53.592694481
"17","Zhanghenglong_yangchengensis",12,51.884982514
"18","Acristavus_gagslarsoni",15,53.315733116
"19","Wulagasaurus_dongi",15,70.707591356
"20","Hadrosaurus_foulkii",15,61.275114211
"21","Brachylophosaurus_canadensis",16,61.0075399
"22","Maiasaura_peeblesorum",16,59.335796037
"23","Kerberosaurus_manakini",16,67.76711011
"24","Shantungosaurus_giganteus",17,66.58858266
"25","Edmontosaurus_regalis",18,54.63775797
"26","Edmontosaurus_annectens",19,66.53127035
"27","Edmontosaurus_saskatchewanensis",19,66.552095023
"28","Lophorhothon_atopus",17,65.945442593
"29","Prosaurolophus_maximus",18,59.459048557
"30","Bonapartesaurus_rionegrensis",19,68.013417613
"31","Saurolophus_angustirostris",20,63.454687115
"32","Saurolophus_osborni",20,65.87604952
"33","Kritosaurus_navajovius",16,53.442803619
"34","Gryposaurus_incurvimanus",17,53.022717425
"35","Gryposaurus_latidens",17,59.184679089
"36","Gryposaurus_monumentensis",17,61.486496354
"37","Gryposaurus_notabilis",17,64.970897865
"38","Aralosaurus_tuberiferus",14,55.501620649
"39","Jaxartosaurus_aralensis",15,52.295245486
"40","Pararhabdodon_isonensis",15,69.083718413
"41","Tsintaosaurus_spinorhinus",15,59.565821403
"42","Arenysaurus_ardevoli",16,69.940156133
"43","Amurosaurus_riabinini",18,66.764366013
"44","Sahaliyania_elunchunorum",18,66.92655887
"45","Hypacrosaurus_altispinus",18,65.279087433
"46","Hypacrosaurus_stebingeri",18,53.17843439
"47","Magnapaulia_laticaudus",18,55.060399203
"48","Nipponosaurus_sachalinensis",18,57.882193263
"49","Olorotitan_ararhensis",18,70.526804723
"50","Velafrons_coahuilensis",18,65.806759863
"51","Corythosaurus_casuarius",19,54.116759123
"52","Corythosaurus_intermedius",19,63.802488433
"53","Lambeosaurus_lambei",19,54.977032482
"54","Lambeosaurus_magnicristatus",19,64.783817402
"55","Charonosaurus_jiayinensis",17,66.796869779
"56","Parasaurolophus_cyrtocristatus",17,54.764895069
"57","Parasaurolophus_tubicen",17,55.840797883
"58","Parasaurolophus_walkeri",17,62.585648719
"59","Telmatosaurus_transsylvanicus",12,67.065755523
"60","Tethyshadros_insularis",12,70.769197227
"61","Iguanodon_bernissartensis",4,14.10210767
"62","Mantellisaurus_atherfieldensis",4,3
