"","species","nodecount","time"
"1","Ouranosaurus_nigeriensis",2,30.55386567
"2","Jinzhousaurus_yangi",4,8.282746498
"3","Equijubus_normani",5,13.389470673
"4","Xuwulong_yueluni",6,20.571473979
"5","Eolambia_caroljonesa",10,30.954462512
"6","Jintasaurus_meniscus",10,29.571309602
"7","Probactrosaurus_gobiensis",9,13.432857652
"8","Protohadros_byrdi",7,33.138897302
"9","Levnesovia_transoxiana",9,41.775373402
"10","Tanius_sinensis",10,58.220282102
"11","Bactrosaurus_johnsoni",11,49.697517712
"12","Gilmoreosaurus_mongoliensis",12,58.508053912
"13","Claosaurus_agilis",15,48.496426642
"14","Nanningosaurus_dashiensis",13,43.160037322
"15","Shuangmiaosaurus_gilmorei",14,27.597357232
"16","Nanyangosaurus_zhugeii",18,59.796390262
"17","Zhanghenglong_yangchengensis",17,47.281677964
"18","Acristavus_gagslarsoni",22,51.958694617
"19","Wulagasaurus_dongi",22,63.530772698
"20","Hadrosaurus_foulkii",22,53.479268601
"21","Brachylophosaurus_canadensis",23,57.769394678
"22","Maiasaura_peeblesorum",23,48.502643128
"23","Kerberosaurus_manakini",23,61.595436794
"24","Shantungosaurus_giganteus",23,58.974628746
"25","Edmontosaurus_regalis",24,60.403939586
"26","Edmontosaurus_annectens",25,61.645213997
"27","Edmontosaurus_saskatchewanensis",25,60.508705236
"28","Lophorhothon_atopus",24,57.164530307
"29","Prosaurolophus_maximus",25,60.915378266
"30","Bonapartesaurus_rionegrensis",26,60.440843948
"31","Saurolophus_angustirostris",27,58.634440007
"32","Saurolophus_osborni",27,65.322204722
"33","Kritosaurus_navajovius",22,50.723503453
"34","Gryposaurus_latidens",24,49.987412725
"35","Gryposaurus_monumentensis",23,53.496374149
"36","Gryposaurus_notabilis",24,59.081546315
"37","Aralosaurus_tuberiferus",20,53.854618752
"38","Jaxartosaurus_aralensis",22,46.192181012
"39","Arenysaurus_ardevoli",24,63.631503452
"40","Amurosaurus_riabinini",26,61.958508494
"41","Sahaliyania_elunchunorum",26,61.469109602
"42","Hypacrosaurus_altispinus",27,65.419203752
"43","Hypacrosaurus_stebingeri",29,59.977935832
"44","Magnapaulia_laticaudus",28,58.575501072
"45","Nipponosaurus_sachalinensis",30,50.661998491
"46","Velafrons_coahuilensis",30,52.953813266
"47","Corythosaurus_casuarius",28,56.669951783
"48","Corythosaurus_intermedius",28,60.450272142
"49","Lambeosaurus_lambei",28,50.536834172
"50","Lambeosaurus_magnicristatus",28,58.448755206
"51","Parasaurolophus_cyrtocristatus",24,55.553936959
"52","Charonosaurus_jiayinensis",25,63.811680799
"53","Parasaurolophus_tubicen",26,52.980651919
"54","Parasaurolophus_walkeri",26,50.701478669
"55","Pararhabdodon_isonensis",22,63.942288967
"56","Tsintaosaurus_spinorhinus",22,54.491346967
"57","Telmatosaurus_transsylvanicus",17,62.3219579
"58","Tethyshadros_insularis",17,59.150664152
"59","Iguanodon_bernissartensis",4,3
"60","Mantellisaurus_atherfieldensis",4,9.762673287
