"","species","nodecount","time"
"1","Shunosaurus",2,11.57923437
"2","Omeisaurus",3,4.595072647
"3","Mamenchisaurus",4,23.5028455
"4","HMNMB.R.2091.1-30",4,26.619779497
"5","Lapparentosaurus",4,4.523268778
"6","Jobaria",4,9.306488959
"7","Zby",5,17.00649695
"8","Losillasaurus",6,24.59934817
"9","Turiasaurus",6,25.586579367
"10","Atlasaurus",5,4
"11","Nigersaurus",7,52.636994785
"12","Apatosaurus",8,22.770100189
"13","Diplodocus",8,18.548931415
"14","Tehuelchesaurus",8,19.124165465
"15","Janenschia",9,22.153682508
"16","Haestasaurus",9,36.531293638
"17","Camarasaurus",8,15.850780878
"18","Aragosaurus",9,30.443034355
"19","Galveosaurus",10,17.711598136
"20","Europasaurus",12,16.373258675
"21","Vouivria",13,13.460006445
"22","Brachiosaurus",14,18.216048468
"23","Abydosaurus",15,75.243523635
"24","Cedarosaurus",15,42.512920435
"25","Giraffatitan",15,19.84644127
"26","Lusotitan",15,16.572351215
"27","Sonorasaurus",15,73.917836325
"28","Venenosaurus",15,44.895460185
"29","Andesaurus",12,77.935191325
"30","Huanghetitan",12,58.089926665
"31","Huanghetitanruyangensis",12,58.628657625
"32","Malarguesaurus",12,85.138716175
"33","Paluxysaurus",12,66.905615235
"34","Ruyangosaurus",12,77.354508135
"35","Sauroposeidon",12,64.293773365
"36","Wintonotitan",12,77.469042965
"37","Tastavinsaurus",13,46.868944755
"38","Angolatitan",14,84.391805765
"39","Chubutisaurus",14,70.189966885
"40","Cloverlytitanosauriform",13,66.579556034
"41","Padillasaurus",13,43.98473459
"42","Dongbeititan",14,43.206086834
"43","Ligabuesaurus",14,60.993286774
"44","Euhelopus",14,35.024534875
"45","Erketu",15,76.892296845
"46","Gobititan",15,57.455574845
"47","Qiaowanlong",14,61.893586735
"48","Phuwiangosaurus",15,48.133581955
"49","Tangvayosaurus",15,66.178015965
"50","Baotianmansaurus",14,87.469041045
"51","Dongyangosaurus",14,72.612571235
"52","Savannasaurus",15,79.558971806
"53","Diamantinasaurus",16,75.477161626
"54","AODF_836",16,72.371260815
"55","Daxiatitan",16,57.526572245
"56","Xianshanosaurus",16,72.851111245
"57","Malawisaurus",16,46.932068415
"58","Rapetosaurus",18,102.850154764
"59","Saltasaurus",18,104.388831324
"60","Nemegtosaurus",18,103.752503474
"61","Tapuiasaurus",18,51.366391054
"62","Aeolosaurus",18,90.327212014
"63","Isisaurus",18,104.729396054
"64","Opisthocoelicaudia",19,98.575490964
"65","Alamosaurus",20,104.778657484
"66","Jiangshanosaurus",20,70.209750044
"67","Pitekunsaurus",18,92.365095024
"68","Epachthosaurus",19,79.920070004
"69","Muyelensaurus",21,88.088095283
"70","Rinconsaurus",21,87.849729474
"71","Mendozasaurus",21,85.570302684
"72","Futalognkosaurus",22,83.354447164
"73","Argentinosaurus",23,74.087263339
"74","Notocolossus",24,88.297463684
"75","Patagotitan",24,71.011040984
"76","Puertasaurus",24,103.339037814
