"","species","nodecount","time"
"1","Leptoceratops_gracilis",2,27.92200393
"2","Protoceratops_andrewsi",3,20.59356218
"3","Zuniceratops_christopheri",4,3
"4","Turanoceratops_tardabilis",5,5.539841726
"5","Centrosaurus_apertus",7,24.398924325
"6","Albertaceratops_nesmoi",8,18.052214577
"7","Pachyrhinosaurus_lakustai",8,16.886379793
"8","Vagaceratops_irvinensis",7,12.115827083
"9","Kosmoceratops_richardsoni",7,18.758991481
"10","Spiclypeus_shipporum",7,21.573798841
"11","Coahuilaceratops_magnacuerna",8,16.340197861
"12","Utahceratops_gettyi",10,12.392662191
"13","Pentaceratops_sternbergii",10,23.721133621
"14","Agujaceratops_mariscalensis",10,24.477499101
"15","Mojoceratops_perifania",11,16.229633915
"16","Chasmosaurus_belli",12,16.201575841
"17","Chasmosaurus_russelli",12,22.383428335
"18","Anchiceratops_ornatus",8,28.50547507
"19","Regaliceratops_peterhewsi",9,25.08841894
"20","Arrhinoceratops_brachyops",10,14.766723625
"21","Ojoceratops_fowleri",11,24.82047624
"22","Titanoceratops_ouranos",11,15.71849247
"23","Nedoceratops_hatcheri",12,27.848570275
"24","Torosaurus_latus",13,27.438558102
"25","Torosaurus_utahensis",13,27.755603514
"26","Triceratops_horridus",13,25.709151522
"27","Triceratops_prorsus",13,23.528274884
