"","species","nodecount","time"
"1","Pisanosaurus",2,1
"2","Lesothosaurus",3,36.986035908
"3","Scutellosaurus",5,39.759998465
"4","Laquintasaura",5,31.9564121
"5","Emausaurus",5,47.424219109
"6","Scelidosaurus",6,34.407068349
"7","Alcovasaurus_longispinus",7,73.863432009
"8","Huayangosaurus",11,60.185190239
"9","Chungkingosaurus",11,71.051445319
"10","Paranthodon",11,85.388384119
"11","Tuojiangosaurus",11,70.828559309
"12","Jiangjunosaurus",10,72.067084959
"13","Gigantspinosaurus",11,71.341654706
"14","Kentrosaurus",12,79.769554919
"15","D._armatus",13,75.087678439
"16","Loricatosaurus",14,66.922208249
"17","Miragaia",16,79.821366894
"18","Hesperosaurus",16,75.834692398
"19","S._homheni",16,123.141383404
"20","S._stenops",16,75.974178354
"21","Sauropelta",9,120.418572369
"22","Gastonia",10,103.858336079
"23","Euoplocephalus",10,149.799986589
