"","species","nodecount","time"
"1","Lesothosaurus_diagnotsicus",2,4.020679372
"2","Scutellosaurus",3,13.5407734
"3","Emausaurus",4,14.77202384
"4","Scelidosaurus",5,4
"5","Huayangosaurus_tabaii",7,28.93741986
"6","Stegosaurus",7,48.52230261
"7","Cedarpelta_bilbeyhallorum",8,83.21474795
"8","Minmi_paravertebra",8,64.8276285
"9","Antarctopelta_oliveroi",8,126.0210074
"10","Hungarosaurus_tormai",10,113.15602083
"11","Polacanthus_rudgwickensis",10,67.289640563
"12","Tatankocephalus_cooneyorum",10,89.54949908
"13","Anoplosaurus_curtonotus",11,103.2215283
"14","Hoplitosaurus_marshi",11,71.308384822
"15","Hylaeosaurus_armatus",11,65.91533612
"16","Liaoningosaurus_paradoxus",11,71.940487081
"17","Pawpawsaurus_cambelli",11,95.02034663
"18","Sauropelta_edwardsi",11,95.28241006
"19","Stegopelta_landerensis",11,100.65515573
"20","Zhejiangosaurus_lishuiensis",11,98.31064172
"21","Animantarx_ramaljonsei",12,96.31099502
"22","Texasetes_pleurohalio",12,96.775316721
"23","Nodosaurus_textillis",12,100.39299672
"24","Silvisaurus_condrayi",12,85.03948276
"25","Struthiosaurus_austriacus",12,115.41416569
"26","Struthiosaurus_languedocensis",12,123.072975005
"27","Panoplosaurus_mirus",12,116.569616256
"28","Edmontonia",13,126.6433339
"29","Niobrarasaurus_coleii",13,113.08283473
"30","Gargoyleosaurus_parkpinorum",10,40.94830149
"31","Gastonia_burgei",11,68.576539339
"32","Gobisaurus_domoculus",11,105.935321969
"33","Mymoorapelta_maysi",11,42.362821109
"34","Peloroplites_cedrimontanus",11,77.720507399
"35","Polacanthus_foxii",11,68.495071469
"36","Shamosaurus_scutatus",12,80.754665789
"37","Ankylosaurus_marginoventris",13,129.331536859
"38","Euoplocephalus_tutus",13,121.062182839
"39","Nodocephalosaurus_kirtlandensis",13,115.503567909
"40","Pinacosaurus_mephistocephalus",13,120.584888979
"41","Saichania_chulsanensis",13,122.722522809
"42","Shanxia_tianzhenensis",13,113.571443219
"43","Talarurus_plicatospineus",13,101.992405524
"44","Tarchia_gigantea",13,122.425875949
"45","Tianzhenosaurus_youngi",13,123.071750789
"46","Tsagantegia_longicranialis",13,103.723604469
"47","Zhongyuanosaurus_luoyangensis",13,102.572285017
"48","Chrichtonsaurus_benxiensis",14,100.458223809
"49","Dyoplosaurus_acutosquameus",14,118.099940009
"50","Pinacosaurus_grangeri",13,119.380545959
