"","species","nodecount","time"
"1","Lesothosaurus_diagnotsicus",2,1
"2","Scutellosaurus",3,11.362060555
"3","Emausaurus",4,16.550935924
"4","Scelidosaurus",5,6.694123144
"5","Huayangosaurus_tabaii",7,34.618338144
"6","Stegosaurus",7,48.171338864
"7","Cedarpelta_bilbeyhallorum",8,77.844425236
"8","Minmi_paravertebra",8,66.816798486
"9","Antarctopelta_oliveroi",8,115.838254366
"10","Hungarosaurus_tormai",10,114.284439276
"11","Polacanthus_rudgwickensis",10,65.045192026
"12","Tatankocephalus_cooneyorum",10,87.404072586
"13","Anoplosaurus_curtonotus",11,100.176305165
"14","Hoplitosaurus_marshi",11,72.485566751
"15","Hylaeosaurus_armatus",11,71.454102425
"16","Liaoningosaurus_paradoxus",11,71.607922425
"17","Pawpawsaurus_cambelli",11,94.846975725
"18","Sauropelta_edwardsi",11,88.718152365
"19","Stegopelta_landerensis",11,101.877833435
"20","Zhejiangosaurus_lishuiensis",11,101.484636085
"21","Animantarx_ramaljonsei",12,95.895212905
"22","Texasetes_pleurohalio",12,97.262618066
"23","Nodosaurus_textillis",12,105.515027435
"24","Silvisaurus_condrayi",12,94.783826425
"25","Struthiosaurus_austriacus",12,118.16259452
"26","Struthiosaurus_languedocensis",12,115.984241875
"27","Panoplosaurus_mirus",12,122.2655634
"28","Edmontonia",13,130.512554145
"29","Niobrarasaurus_coleii",13,115.447832405
"30","Gargoyleosaurus_parkpinorum",10,44.850774484
"31","Gastonia_burgei",11,70.472518066
"32","Gobisaurus_domoculus",11,106.890554906
"33","Mymoorapelta_maysi",11,42.060323426
"34","Peloroplites_cedrimontanus",11,86.957294366
"35","Polacanthus_foxii",11,75.836174296
"36","Shamosaurus_scutatus",12,81.409474526
"37","Ankylosaurus_marginoventris",13,127.659339906
"38","Euoplocephalus_tutus",13,124.489350396
"39","Nodocephalosaurus_kirtlandensis",13,118.883081446
"40","Pinacosaurus_mephistocephalus",13,123.379415216
"41","Saichania_chulsanensis",13,121.241440356
"42","Shanxia_tianzhenensis",13,117.258638556
"43","Talarurus_plicatospineus",13,104.94147226
"44","Tarchia_gigantea",13,118.389970886
"45","Tianzhenosaurus_youngi",13,107.240294282
"46","Tsagantegia_longicranialis",13,104.705868725
"47","Zhongyuanosaurus_luoyangensis",13,106.705690228
"48","Chrichtonsaurus_benxiensis",14,99.519740346
"49","Dyoplosaurus_acutosquameus",14,122.406664496
"50","Pinacosaurus_grangeri",13,118.668549506
