"","species","nodecount","time"
"1","Aethocrinus",4,0.290981563031673
"2","Alphacrinus",4,0.241967158615589
"3","Amabilicrinus",18,3.98167948424816
"4","Apektocrinus",2,0.0514477081596851
"5","Botryocrinus",14,2.16462323650718
"6","Carabocrinus",6,0.703994872272015
"7","Codiacrinus",18,3.34849784359336
"8","Colpodecrinus",6,0.797860862910748
"9","Corematocrinus",18,3.98167948424816
"10","Crotalocrinites",13,2.19984626024961
"11","Cupulocrinus",9,1.26031426548958
"12","Dendrocrinus",11,1.55735274985433
"13","Euspirocrinus",11,1.50038747698069
"14","Eustenocrinus",8,1.18373812269419
"15","Gasterocoma",18,3.41022673621774
"16","Glossocrinus",17,3.98167945817113
"17","Homalocrinus",12,1.47933517884463
"18","Ibexocrinus",7,0.726193626634777
"19","Hybocrinus",8,1.17850856691599
"20","Hybocystites",8,1.23846720904112
"21","Icthyocrinus",10,1.55232375860214
"22","Iocrinus",6,0.605603729598224
"23","Lecanocrinus",13,1.61530547332019
"24","Lecythocrinus",10,1.47399920970201
"25","Heviacrinus",8,0.922444124929607
"26","Manicrinus",12,1.780288862288
"27","Mastigocrinus",13,2.06086523666978
"28","Merocrinus",6,0.765493767559528
"29","Metabolocrinus",6,1.0310789719224
"30","Ottawacrinus",7,1.18556024879217
"31","Petalocrinus",13,2.30342995375395
"32","Plicodendrocrinus",10,1.43207275703549
"33","Porocrinus",7,1.03301146835089
"34","Proctothylacocrinus",14,2.42055193915963
"35","Protaxocrinus",11,1.42069180797786
"36","Rhenocrinus",15,2.71004395022988
"37","Rutkowskicrinus",16,3.58159147039056
"38","Sagenocrinites",13,1.7902064723894
"39","Sphaerocrinus",17,3.13849704548717
"40","Streblocrinus",16,2.95177534803748
"41","Thalamocrinus",15,2.46173203572631
"42","Thenarocrinus",13,2.15057913795114
