"","species","nodecount","time"
"1","Pisanosaurus_mertii",3,9.28
"2","Echinodon_becklesii",5,99.78
"3","Fruitadens_haagarorum",5,92.08
"4","Tianyulong_confuciusi",5,81.38
"5","Lycorhinus_angustidens",5,45.93
"6","Pegomastax_africanus",7,45.93
"7","Manidens_condorensis",7,71.23
"8","Abrictosaurus_consors",6,45.93
"9","Heterodontosaurus_tucki",6,45.93
"10","Lesothosaurus_diagnosticus",5,45.93000001
"11","Scutellosaurus_lawleri",6,50.98000001
"12","Emausaurus_ernsti",7,61.43000001
"13","Scelidosaurus_harrisonii",8,46.93000001
"14","Chungkingosaurus_jiangbeiensis",11,82.88000001
"15","Huayangosaurus_taibaii",11,75.08000001
"16","Dacentrurus_armatus",11,88.53000001
"17","Kentrosaurus_aethiopicus",12,92.08000001
"18","Loricatosaurus_priscus",13,77.68000001
"19","Paranthodon_africanus",13,102.53000001
"20","Tuojiangosaurus_multispinus",13,82.88000001
"21","Stegosaurus_mjosi",14,84.78000001
"22","Stegosaurus_stenops",14,90.83000001
"23","Stegosaurus_ungulatus",14,90.83000001
"24","Minmi_paravertebra",11,109.13000001
"25","Cedarpelta_bilbeyhallorum",12,140.35500001
"26","Gobisaurus_domoculus",13,150.13000001
"27","Shamosaurus_scutatus",14,128.58000001
"28","Tsagantegia_longicranialis",15,153.23000001
"29","Zhongyuanosaurus_luoyangensis",15,146.83000001
"30","Crichtonsaurus_bohlini",18,146.83000001
"31","Crichtonsaurus_benxiensis",18,146.83000001
"32","Dyoplosaurus_acutesquamous",18,164.13000001
"33","Pinacosaurus_mephistocephalus",18,167.78000001
"34","Ankylosaurus_magniventris",18,174.030000017
"35","Euoplocephalus_tutus",18,167.780000014
"36","Pinacosaurus_grangeri",19,164.130000013
"37","Minotaurasaurus_ramachandrani",19,164.130000013
"38","Nodocephalosaurus_kirtlandensis",19,167.780000014
"39","Talarurus_plicatospineus",21,153.230000015
"40","Tianzhenosaurus_youngi",21,158.730000015
"41","Saichania_chulsanensis",21,164.130000015
"42","Tarchia_kielanae",22,165.230000015
"43","Tarchia_gigantea",22,165.230000015
"44","Antarctopelta_oliveroi",11,167.78000001
"45","Mymoorapelta_maysi",13,90.83000001
"46","Anoplosaurus_curtonotus",14,143.48000001
"47","Hylaeosaurus_armatus",14,105.33000001
"48","Tatankacephalus_cooneyorum",13,128.78000001
"49","Gargoyleosaurus_parkpinorum",15,90.83000001
"50","Hoplitosaurus_marshi",15,113.43000001
"51","Gastonia_burgei",16,113.430000013
"52","Peloroplites_cedrimontanus",17,140.355000006
"53","Polacanthus_foxii",17,110.580000009
"54","Struthiosaurus_transilvanicus",16,172.93000001
"55","Zhejiangosaurus_lishuiensis",16,144.78000001
"56","Hungarosaurus_tormai",16,157.03000001
"57","Animantarx_ramaljonesi",17,140.35500001
"58","Niobrarasaurus_coleii",18,155.43000001
"59","Nodosaurus_textilis",18,145.98000001
"60","Pawpawsaurus_campbelli",18,138.35500001
"61","Sauropelta_edwardsi",18,128.78000001
"62","Silvisaurus_condrayi",18,135.23000001
"63","Stegopelta_landerensis",18,145.98000001
"64","Texasetes_pleurohalio",18,138.35500001
"65","Panoplosaurus_mirus",19,167.78000001
"66","Edmontonia_longiceps",20,164.13
"67","Edmontonia_rugosidens",20,174.03
"68","Stormbergia_dangershoeki",5,45.93000001
"69","Agilisaurus_louderbacki",6,75.08000001
"70","Hexinlusaurus_multidens",7,75.08000001
"71","Goyocephale_lattimorei",10,168.88000001
"72","Homalocephale_calathocercos",11,168.88000001
"73","Colepiocephale_lambei",12,163.58000001
"74","Stegoceras_validum",12,164.13000001
"75","Stegoceras_novomexicanum",12,167.78000001
"76","Amtocephale_gobiensis",13,153.23000001
"77","Prenocephale_prenes",13,168.88000001
"78","Tylocephale_gilmorei",13,164.13000001
"79","Hanssuesia_sternbergi",14,164.13000001
"80","Pachycephalosaurus_wyomingensis",14,172.93000001
"81","Yinlong_downsi",10,81.58000001
"82","Micropachycephalosaurus_hongtuyanensis",11,164.13000001
"83","Chaoyangsaurus_youngi",12,101.18000001
"84","Xuanhuaceratops_niei",12,75.08000001
"85","Psittacosaurus_mongoliensis",13,104.080000014
"86","Psittacosaurus_neimongoliensis",13,122.030000017
"87","Psittacosaurus_sinensis",13,122.330000017
"88","Psittacosaurus_gobiensis",13,122.330000017
"89","Liaoceratops_yanzigouensis",13,117.88000002
"90","Yamaceratops_dorngobiensis",14,157.03000002
"91","Archaeoceratops_oshimai",16,120.08000002
"92","Archaeoceratops_yujingziensis",16,128.58000002
"93","Koreaceratops_hwaseongensis",16,135.23000002
"94","Asiaceratops_salsopaludalis",18,143.48000002
"95","Cerasinops_hodgskissi",19,164.130000024
"96","Montanoceratops_cerorynchus",20,170.980000018
"97","Prenoceratops_pieganensis",21,164.130000022
"98","Leptoceratops_gracilis",22,172.930000016
