"","species","nodecount","time"
"1","T67",5,4.35
"2","T71",8,8.5
"3","T75",8,26.2
"4","T73",8,13.3
"5","T74",8,25.6
"6","T82",10,13.75
"7","T81",10,14.75
"8","T369",10,13.9
"9","T78",11,14.75
"10","T371",11,15.2
"11","T85",10,18.4
"12","T357",11,21.65
"13","T87",11,31.2
"14","T97",14,24.05
"15","T96",14,25.3
"16","T95",13,25.6
"17","T93",12,18.4
"18","T91",11,17.6
"19","T92",10,18.8
"20","T132",11,18.8
"21","T141",15,26.9
"22","T143",15,31.2
"23","T138",14,29.1
"24","T146",16,28.9
"25","T147",16,31
"26","T148",15,28.9
"27","T140",14,31.2
"28","T135",13,28.7
"29","T134",13,28.7
"30","T129",10,18.3
"31","T127",10,30.4
"32","T173",15,44.9
"33","T174",15,69.2
"34","T178",16,65.9
"35","T176",16,66.2
"36","T180",16,58
"37","T181",16,64.4
"38","T167",14,43.7
"39","T169",15,45.1
"40","T170",15,50.4
"41","T164",12,41.8
"42","T153",13,47.7
"43","T154",14,57.3
"44","T155",14,62.5
"45","T31",17,55
"46","T41",20,64.7
"47","T46",21,69.2
"48","T43",21,69.2
"49","T44",19,69.2
"50","T39",20,66.8
"51","T38",20,67.5
"52","T36",19,67
"53","T53",20,64.8
"54","T55",20,68.3
"55","T57",20,65.7
"56","T63",22,68
"57","T66",23,69.2
"58","T65",23,69.2
"59","T60",22,68.8
"60","T61",22,69.2
"61","T124",19,69.2
"62","T123",19,69.2
"63","T50",18,69.2
"64","T49",18,69.2
"65","T33",15,64.4
"66","T28",15,65.3
"67","T29",15,69.2
"68","T365",17,69.2
"69","T162",17,69.2
"70","T161",16,67.5
"71","T158",15,69.2
"72","T159",14,69.2
"73","T108",12,13.9
"74","T107",12,13.9
"75","T105",11,18.8
"76","T118",13,22.8
"77","T120",14,26.9
"78","T121",14,37.4
"79","T116",12,25.2
"80","T111",12,20.5
"81","T114",13,33.4
"82","T113",13,38.9
"83","T100",9,15
"84","T185",6,9.9
"85","T192",10,35.5
"86","T196",12,42.1
"87","T197",12,54.1
"88","T194",11,57.8
"89","T189",9,28.7
"90","T200",10,35.5
"91","T999",12,45.4
"92","T204",14,64.4
"93","T205",14,69.2
"94","T297",13,57.1
"95","T202",11,46.7
"96","T211",11,34.9
"97","T213",12,51.9
"98","T214",12,58.3
"99","T209",11,34.9
"100","T208",11,35.5
"101","T216",8,18.3
"102","T224",13,27.8
"103","T226",14,31.1
"104","T230",16,35.5
"105","T229",16,35.5
"106","T228",15,35.5
"107","T362",12,35.2
"108","T222",11,26.5
"109","T219",10,25.2
"110","T236",11,23.8
"111","T249",17,34.9
"112","T250",17,35.4
"113","T247",16,33.7
"114","T245",15,32.9
"115","T242",15,33.2
"116","T243",15,33.4
"117","T254",15,29.2
"118","T255",15,34.9
"119","T252",14,29.4
"120","T238",12,26.9
"121","T234",11,26.1
"122","T233",11,31.9
"123","T183",5,9.5
"124","T309",9,16.7
"125","T321",12,45.4
"126","T320",12,45.4
"127","T360",17,58.4
"128","T335",17,69.2
"129","T333",16,57.1
"130","T331",17,67.6
"131","T330",17,67.9
"132","T328",16,69.2
"133","T361",14,54.1
"134","T355",19,64.9
"135","T356",19,67.9
"136","T353",18,66.9
"137","T351",18,69.2
"138","T350",18,69.2
"139","T346",17,65.6
"140","T347",17,69.2
"141","T343",15,52.8
"142","T340",16,67.2
"143","T341",16,69.2
"144","T338",15,69.2
"145","T323",12,52.9
"146","T317",11,69.2
"147","T316",11,69.2
"148","T307",8,14.75
"149","T313",8,38.9
"150","T359",8,40.7
"151","T263",7,13.65
"152","T277",10,31.2
"153","T303",16,69.2
"154","T302",16,69.2
"155","T304",15,69.2
"156","T299",15,69.2
"157","T294",15,69.2
"158","T367",13,65.2
"159","T287",15,50.4
"160","T288",15,69.2
"161","T372",15,67.2
"162","T373",15,68.6
"163","T284",13,45.4
"164","T282",12,46.7
"165","T280",12,49.9
"166","T363",10,29.2
"167","T266",10,42
"168","T270",10,35.5
"169","T274",12,36.6
"170","T275",12,42
"171","T272",11,37
"172","T268",9,37.1
"173","T260",5,9.9
"174","T258",4,8.3
"175","T11",4,13.3
"176","T12",4,24
"177","T14",5,25.4
"178","T20",8,35.4
"179","T19",8,35.4
"180","T24",8,38.9
"181","T22",8,38.95
"182","T16",6,32
"183","T7",5,29.9
"184","T9",6,37
"185","T10",6,37.2
