"","species","nodecount","time"
"1","Pisanosaurus_mertii",3,8.08
"2","Eocursor_parvus",4,16.68
"3","Lesothosaurus_diagnosticus",5,43.780000001
"4","Scutellosaurus_lawleri",7,45.779999996
"5","Emausaurus_ernsti",8,62.38
"6","Scelidosaurus_harrisonii",9,45.779999998
"7","Huayangosaurus_taibaii",11,74.779999998
"8","Paranthodon_africanus",12,100.080000001
"9","Chungkingosaurus_jiangbeiensis",13,81.580000001
"10","Chialingosaurus_kuani",14,81.580000001
"11","Wuerhosaurus_homheni",16,105.680000004
"12","Dacentrurus_armatus",17,90.28
"13","Hesperosaurus_mjosi",17,85.38
"14","Tuojiangosaurus_multispinus",16,81.580000001
"15","Kentrosaurus_aethiopicus",18,90.280000001
"16","Lexovisaurus_durobrivensis",18,80.480000001
"17","Stegosaurus_armatus",18,87.780000001
"18","Stegosaurus_stenops",18,87.780000001
"19","Struthiosaurus_austriacus",11,161.480000004
"20","Hungarosaurus_tormai",12,158.779999998
"21","Hylaeosaurus_armatus",14,105.679999992
"22","Cedarpelta_bilbeyhallorum",15,138.329999992
"23","Pawpawsaurus_campbelli",16,138.329999992
"24","Sauropelta_edwardsorum",17,125.429999992
"25","Silvisaurus_condrayi",18,132.079999992
"26","Panoplosaurus_mirus",19,168.779999992
"27","Edmontonia_longiceps",20,161.479999992
"28","Edmontonia_rugosidens",20,175.179999992
"29","Gargoyleosaurus_parkpinorum",14,87.779999998
"30","Animantarx_ramaljonesi",15,138.33
"31","Minmi_paravertebra",16,105.679999994
"32","Mymoorapelta_maysi",18,87.779999996
"33","Gastonia_burgei",19,114.279999992
"34","Polacanthus_foxii",19,108.579999992
"35","Gobisaurus_domoculus",18,151.179999998
"36","Shamosaurus_scutatus",19,118.779999988
"37","Tianzhenosaurus_youngi",21,144.579999988
"38","Tsagantegia_longicranialis",21,151.179999988
"39","Talarurus_plicatospineus",22,151.179999988
"40","Pinacosaurus_grangeri",23,161.479999988
"41","Pinacosaurus_mephistocephalus",23,168.779999988
"42","Nodocephalosaurus_kirtlandensis",22,168.779999988
"43","Ankylosaurus_magniventris",24,175.179999988
"44","Euoplocephalus_tutus",24,168.779999988
"45","Saichania_chulsanensis",24,161.479999988
"46","Tarchia_gigantea",24,161.479999988
"47","Stormbergia_dangershoeki",7,43.780000003
"48","Heterodontosaurus_tucki",10,43.779999997
"49","Abrictosaurus_consors",10,43.779999997
"50","Stenopelix_valdensis",11,100.080000005
"51","Wannanosaurus_yansiensis",12,172.980000005
"52","Yaverlandia_bitholus",13,114.280000001
"53","Goyocephale_lattimorei",14,168.779999998
"54","Homalocephale_calathocercos",15,168.779999998
"55","Ornatotholus_browni",16,168.779999998
"56","Stegoceras_validum",17,161.479999998
"57","Dwarf_pachycephalosaur",19,168.779999998
"58","Prenocephale_prenes",20,168.779999998
"59","Tylocephale_gilmorei",20,161.479999998
"60","Pachycephalosaurus_wyomingensis",20,172.979999998
"61","Stygimoloch_spinifer",20,175.179999998
"62","Prenocephale_goodwini",21,168.779999998
"63","Sphaerotholus_buchholtzae",21,172.979999998
"64","Prenocephale_edmontonensis",21,168.779999998
"65","Prenocephale_brevis",21,168.779999998
"66","Yinlong_downsi",11,81.580000002
"67","Psittacosaurus_guyangensis",12,118.779999999
"68","Chaoyangsaurus_youngi",14,97.380000003
"69","Xuanhuaceratops_niei",14,74.78
"70","Psittacosaurus_mongoliensis",15,100.080000002
"71","Psittacosaurus_sinensis",15,118.779999999
"72","Liaoceratops_yanzigouensis",15,116.530000006
"73","Yamaceratops_dorngobiensis",16,158.780000006
"74","Archaeoceratops_oshimai",17,114.280000006
"75","Montanoceratops_cerorhynchus",19,172.980000006
"76","Protoceratops_hellenikorhinus",20,159.880000006
"77","Prenoceratops_pieganensis",21,161.480000003
"78","Leptoceratops_gracilis",22,172.9799999993
"79","Udanoceratops_tschizhovi",22,161.4800000026
"80","Bagaceratops_rozhdestvenskyi",20,161.480000006
"81","Graciliceratops_mongoliensis",21,144.580000006
"82","Protoceratops_andrewsi",21,168.780000006
"83","Zuniceratops_christopheri",20,152.080000006
"84","Avaceratops_lammersi",21,168.780000006
"85","Monoclonius_crassus",23,161.480000006
"86","Styracosaurus_albertensis",25,168.780000003
"87","Centrosaurus_apertus",26,161.480000007
"88","Centrosaurus_brinkmani",26,168.780000007
"89","Einiosaurus_procurvicornis",25,161.480000006
"90","Achelousaurus_horneri",26,161.480000006
"91","Pachyrhinosaurus_canadensis",27,168.780000006
"92","Pachyrhinosaurus_n._sp.",27,161.480000006
"93","Vagaceratops_irvinensis",24,168.780000006
"94","Pentaceratops_sternbergii",25,168.780000006
"95","Agujaceratops_mariscalensis",26,161.480000006
"96","Chasmosaurus_belli",27,168.780000006
"97","Chasmosaurus_russelli",27,168.780000006
"98","Anchiceratops_ornatus",25,168.780000005
"99","Arrhinoceratops_brachyops",25,168.780000005
"100","Triceratops_horridus",25,172.980000009
"101","Nedoceratops_hatcheri",26,175.180000009
"102","Torosaurus_latus",26,172.980000009
"103","Agilisaurus_louderbacki",9,74.779999994
"104","Hexinlusaurus_multidens",10,74.779999994
"105","Yandusaurus_hongheensis",12,74.779999994
"106","Othnielia_rex",12,87.779999994
"107","Orodromeus_makelai",13,161.479999994
"108","Zephyrosaurus_schaffi",13,125.429999994
"109","Jeholosaurus_shangyuanensis",13,116.529999994
"110","Hypsilophodon_foxii",14,116.529999994
"111","Gasparinisaura_cincosaltensis",15,161.479999994
"112","Parksosaurus_warreni",16,172.979999994
"113","Thescelosaurus_neglectus",17,164.579999994
"114","Tenontosaurus_dossi",18,125.429999994
"115","Tenontosaurus_tilletti",19,125.429999994
"116","Muttaburrasaurus_langdoni",20,138.329999994
"117","Rhabdodon_priscus",22,168.779999994
"118","Zalmoxes_robustus",23,172.979999994
"119","Zalmoxes_shqiperorum",23,172.979999994
"120","Dysalotosaurus_lettowvorbecki",23,87.779999994
"121","Dryosaurus_altus",23,87.779999994
"122","Camptosaurus_dispar",23,87.779999994
"123","Lurdusaurus_arenatus",24,118.779999994
"124","Equijubus_normani",25,114.279999994
"125","Iguanodon_bernissartensis",26,114.279999994
"126","Mantellisaurus_atherfieldensis",27,111.179999994
"127","Ouranosaurus_nigeriensis",28,118.779999994
"128","Fukuisaurus_tetoriensis",29,114.2799999939
"129","Altirhinus_kurzanovi",30,134.0799999928
"130","Nanyangosaurus_zhugeii",31,132.0799999957
"131","Jinzhousaurus_yangi",32,118.7799999946
"132","Probactrosaurus_gobiensis",33,114.2799999944
"133","Eolambia_caroljonesa",34,138.3299999915
"134","Protohadros_byrdi",35,148.5799999915
"135","Bactrosaurus_johnsoni",36,151.1799999915
"136","Gilmoreosaurus_mongoliensis",38,151.1799999915
"137","Telmatosaurus_transsylvanicus",38,172.9799999915
"138","Fontllonga_euhadrosaur",38,175.1799999945
"139","Lophorhothon_atopus",40,161.4799999908
"140","Gryposaurus_notabilis",42,161.4799999908
"141","Brachylophosaurus_canadensis",43,161.4799999908
"142","Maiasaura_peeblesorum",43,161.4799999908
"143","Edmontosaurus_annectens",43,175.1799999918
"144","Edmontosaurus_regalis",43,168.7799999918
"145","Kerberosaurus_manakini",43,175.1799999948
"146","Prosaurolophus_maximus",44,168.7799999918
"147","Naashoibitosaurus_ostromi",45,168.7799999918
"148","Secernosaurus_koerneri",46,168.7799999928
"149","Saurolophus_osborni",46,168.7799999928
"150","Pararhabdodon_isonensis",40,172.9799999911
"151","Tsintaosaurus_spinorhinus",41,161.4799999914
"152","Jaxartosaurus_aralensis",42,155.279999991
"153","Amurosaurus_riabinini",43,175.1799999907
"154","Charonosaurus_jiayinensis",45,175.1799999907
"155","Parasaurolophus_walkeri",45,168.7799999907
"156","Lambeosaurus_lambei",46,168.7799999907
"157","Lambeosaurus_magnicristatus",46,168.7799999907
"158","Corythosaurus_casuarius",46,168.7799999907
"159","Olorotitan_arharensis",47,175.1799999907
"160","Hypacrosaurus_stebingeri",48,161.4799999907
"161","Hypacrosaurus_altispinus",49,168.7799999907
"162","Nipponosaurus_sachalinensis",49,158.7799999907
"163","Saturnalia_tupiniquim",4,8.08
"164","Thecodontosaurus_antiquus",6,35.580000002
"165","Pantydraco_caducus",6,35.580000002
"166","Mussaurus_patagonicus",6,16.6800000005
"167","Jingshanosaurus_xinwaensis",7,43.780000005
"168","Efraasia_minor",8,16.6800000005
"169","Ammosaurus_major",10,54.2799999995
"170","Riojasaurus_incertus",11,16.68
"171","Lufengosaurus_huenei",14,35.5800000015
"172","Gyposaurus_sinensis",14,43.7799999985
"173","Massospondylus_carinatus",14,43.7799999955
"174","Yunnanosaurus_huangi",14,43.7799999955
"175","Plateosaurus_gracilis",13,16.68
"176","Plateosauravus_cullingworthi",14,16.6800000005
"177","Coloradisaurus_brevis",15,16.68
"178","Plateosaurus_engelhardti",16,35.5799999985
"179","Unaysaurus_tolentinoi",16,16.68
"180","Anchisaurus_polyzelus",10,43.780000004
"181","Melanorosaurus_readi",12,16.68
"182","Camelotia_borealis",13,35.58
"183","Lessemsaurus_sauropoides",13,16.68
"184","Blikanasaurus_cromptoni",12,16.68
"185","Antetonitrus_ingenipes",13,16.68
"186","Gongxianosaurus_shibeiensis",14,62.379999998
"187","Isanosaurus_attavipachi",15,16.68
"188","Tazoudasaurus_naimi",16,54.279999997
"189","Kotasaurus_yamanpalliensis",17,43.780000004
"190","Vulcanodon_karibaensis",18,43.780000001
"191","Shunosaurus_lii",19,74.779999998
"192","Barapasaurus_tagorei",20,43.780000002
"193","Mamenchisaurus_constructus",22,81.579999997
"194","Omeisaurus_junghsiensis",23,74.780000001
"195","Omeisaurus_tianfuensis",23,74.780000001
"196","Patagosaurus_fariasi",22,70.979999998
"197","Cetiosaurus_oxoniensis",23,77.680000001
"198","Losillasaurus_giganteus",25,92.980000004
"199","Zapalasaurus_bonapartei",25,116.530000004
"200","Jobaria_tiguidensis",25,70.98
"201","Haplocanthosaurus_priscus",26,87.78
"202","Amphicoelias_altus",28,87.78
"203","Limaysaurus_tessonei",30,144.58
"204","Nigersaurus_taqueti",31,118.77999999
"205","Rayososaurus_agrioensis",31,144.57999999
"206","Rebbachisaurus_garasbae",31,132.07999999
"207","Suuwassea_emilieae",31,87.78
"208","Amargasaurus_cazaui",32,114.28
"209","Brachytrachelopan_mesai",33,92.98
"210","Dicraeosaurus_hansemanni",33,87.78
"211","Dinheirosaurus_lourinhanensis",32,90.28
"212","Tornieria_africana",33,90.28
"213","Barosaurus_lentus",34,87.78
"214","Diplodocus_longus",34,87.78
"215","Apatosaurus_louisae",32,87.78
"216","Apatosaurus_sp.",33,87.78
"217","Apatosaurus_ajax",34,87.78
"218","Apatosaurus_excelsus",34,87.78
"219","Apatosaurus_parvus",34,87.78
"220","Atlasaurus_imelakei",29,76.78
"221","Haplocanthosaurus_delfsi",29,87.78
"222","Camarasaurus_supremus",29,87.78
"223","Amazonsaurus_maranhensis",30,118.78
"224","Giraffatitan_brancai",31,90.28
"225","Europasaurus_holgeri",33,87.779999997
"226","Lapparentosaurus_madagascariensis",34,76.7800000004
"227","Brachiosaurus_altithorax",35,87.7800000007
"228","Cedarosaurus_weiskopfae",35,114.2800000007
"229","Datousaurus_bashanensis",34,74.78
"230","Euhelopus_zdanskyi",35,114.28
"231","Tehuelchesaurus_benitezii",35,87.78
"232","Antarctosaurus_wichmannianus",35,161.479999997
"233","Quaesitosaurus_orientalis",36,164.579999997
"234","Rapetosaurus_krausei",37,172.979999997
"235","Nemegtosaurus_mongoliensis",37,168.779999997
"236","Bellusaurus_sui",35,81.580000001
"237","Phuwiangosaurus_sirindhornae",36,114.280000004
"238","Andesaurus_delgadoi",37,144.5799999973
"239","Pleurocoelus_nanus",38,118.7800000006
"240","Ampelosaurus_atacis",39,168.7800000039
"241","Agustinia_ligabuei",40,132.0799999972
"242","Paralititan_stromeri",41,144.5800000005
"243","Epachthosaurus_sciuttoi",42,144.5800000038
"244","Austrosaurus_mckillopi",43,138.3299999971
"245","Malawisaurus_dixeyi",44,100.0800000004
"246","Gondwanatitan_faustoi",45,151.1800000037
"247","Isisaurus_colberti",46,172.979999997
"248","Titanosaurus_indicus",47,172.9800000003
"249","Alamosaurus_sanjuanensis",49,161.4799999936
"250","Pellegrinisaurus_powelli",49,161.4799999936
"251","Argyrosaurus_superbus",50,144.5800000002
"252","Rocasaurus_muniozi",51,168.7800000035
"253","Japalpur_titanosaur_indet.",52,92.9800000001
"254","Malagasy_Taxon_B",53,161.4799999968
"255","Saltasaurus_loricatus",53,172.9799999968
"256","Aeolosaurus_rionegrinus",50,161.4799999979
"257","Toba_titanosaur",51,100.0799999999
"258","Argentinosaurus_huinculensis",52,149.5799999989
"259","Opisthocoelicaudia_skarzynskii",53,168.7799999989
"260","Peiropolis_titanosaur",54,144.5799999989
"261","Lirainosaurus_astibiae",54,161.4799999989
"262","Staurikosaurus_pricei",5,8.08
"263","Herrerasaurus_ischigualastensis",6,8.08
"264","Chindesaurus_bryansmalli",6,8.08
