name,max_ma,min_ma
Shunosaurus,163.5,157.3
Omeisaurus,174.1,145
Mamenchisaurus,163.5,145
HMNMB.R.2091.1-30,152.1,145
Lapparentosaurus,167.7,164.7
Jobaria,174.1,145
Zby,155.7,150.8
Losillasaurus,157.3,145
Turiasaurus,157.3,145
Atlasaurus,168.3,166.1
Nigersaurus,125,100.5
Apatosaurus,157.3,145
Diplodocus,157.3,145
Tehuelchesaurus,157.3,145
Janenschia,152.1,145
Haestasaurus,145,132.9
Camarasaurus,157.3,145
Aragosaurus,145,136.4
Galveosaurus,157.3,145
Europasaurus,157.3,152.1
Vouivria,161.2,155.7
Brachiosaurus,157.3,145
Abydosaurus,109,93.5
Cedarosaurus,129.4,125
Giraffatitan,152.1,145
Lusotitan,155.7,145
Sonorasaurus,105.3,93.5
Venenosaurus,129.4,125
Andesaurus,99.6,93.5
Huanghetitan,125,113
"""Huanghetitan""ruyangensis",125,113
Malarguesaurus,89.3,85.8
Paluxysaurus,125,100.5
Ruyangosaurus,100.5,89.8
Sauroposeidon,125,100.5
Wintonotitan,100.5,93.9
Tastavinsaurus,125.45,122.46
Angolatitan,89.8,86.3
Chubutisaurus,113,93.9
"""Cloverlytitanosauriform""",113,100.5
Padillasaurus,130,125.45
Dongbeititan,129.4,125
Ligabuesaurus,112.03,109
Euhelopus,145,132.9
Erketu,100.5,83.6
Gobititan,129.4,113
Qiaowanlong,125,100.5
Phuwiangosaurus,129.4,113
Tangvayosaurus,125,100.5
Baotianmansaurus,93.5,70.6
Dongyangosaurus,100.5,93.9
Savannasaurus,100.5,89.3
Diamantinasaurus,99.6,89.3
AODF_836,99.6,93.5
Daxiatitan,125,113
Xianshanosaurus,100.5,89.8
Malawisaurus,125,113
Rapetosaurus,72.1,66
Saltasaurus,70.6,66
Nemegtosaurus,83.6,66
Tapuiasaurus,125,113
Aeolosaurus,83.6,66
Isisaurus,72.1,66
Opisthocoelicaudia,83.6,66
Alamosaurus,72.1,66
Jiangshanosaurus,113,100.5
Pitekunsaurus,83.5,70.6
Epachthosaurus,99.6,89.3
Muyelensaurus,89.3,83.5
Rinconsaurus,86.3,83.6
Mendozasaurus,89.3,85.8
Futalognkosaurus,93.5,85.8
Argentinosaurus,99.6,89.8
Notocolossus,89.3,83.5
Patagotitan,105.3,99.6
Puertasaurus,70.6,66
