identified_name,identified_rank,difference,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma
,,,,,,,,
n. gen. Abrosaurus n. sp. dongpoensis,species,,Abrosaurus_dongpoensis,species,Bajocian,Callovian,170.3,163.5
,,,,,,,,
n. gen. Abydosaurus n. sp. mcintoshi,species,,Abydosaurus_mcintoshi,species,Middle Albian,Early Cenomanian,109,93.5
,,,,,,,,
n. gen. Adamantisaurus n. sp. mezzalirai,species,,Adamantisaurus_mezzalirai,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
Aegyptosaurus baharijensis,species,,Aegyptosaurus_baharijensis,species,Early Albian,Late Valanginian,145,93.5
,,,,,,,,
Aeolosaurus n. sp. colhuehuapensis,species,,Aeolosaurus_colhuehuapensis,species,Campanian,Maastrichtian,83.6,66
,,,,,,,,
Aeolosaurus n. sp. maximus,species,,Aeolosaurus_maximus,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
n. gen. Aeolosaurus n. sp. rionegrinus,species,,Aeolosaurus_rionegrinus,species,Campanian,Maastrichtian,83.6,66
,,,,,,,,
Alamosaurus sanjuanensis,species,,Alamosaurus_sanjuanensis,species,Maastrichtian,,72.1,66
,,,,,,,,
n. gen. Amargasaurus n. sp. cazaui,species,,Amargasaurus_cazaui,species,Barremian,Early Aptian,129.4,122.46
,,,,,,,,
n. gen. Amargatitanis n. sp. macni,species,,Amargatitanis_macni,species,Barremian,,129.4,125
,,,,,,,,
n. gen. Amazonsaurus n. sp. maranhensis,species,,Amazonsaurus_maranhensis,species,Aptian,Albian,125,100.5
,,,,,,,,
n. gen. Ampelosaurus n. sp. atacis,species,,Ampelosaurus_atacis,species,Late Campanian,,83.5,70.6
,,,,,,,,
Amphicoelias altus,species,,Amphicoelias_altus,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
Amphicoelias n. sp. brontodiplodocus,species,,Amphicoelias_brontodiplodocus,species,Late Oxfordian,Early Kimmeridgian,161.2,150.8
,,,,,,,,
n. gen. Amygdalodon n. sp. patagonicus,species,,Amygdalodon_patagonicus,species,Late Toarcian,Early Aalenian,180.1,171.6
,,,,,,,,
n. gen. Andesaurus n. sp. delgadoi,species,,Andesaurus_delgadoi,species,Early Cenomanian,,99.6,93.5
,,,,,,,,
n. gen. Angolatitan n. sp. adamastor,species,,Angolatitan_adamastor,species,Coniacian,,89.8,86.3
,,,,,,,,
n. gen. Anhuilong n. sp. diboensis,species,,Anhuilong_diboensis,species,Middle Jurassic,,174.1,163.5
,,,,,,,,
Antarctosaurus n. sp. giganteus,species,,Antarctosaurus_giganteus,species,Late Coniacian,Early Santonian,89.3,83.5
,,,,,,,,
n. gen. Antarctosaurus n. sp. wichmannianus,species,,Antarctosaurus_wichmannianus,species,Early Campanian,Middle Campanian,83.5,70.6
,,,,,,,,
Apatosaurus ajax,species,,Apatosaurus_ajax,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
Apatosaurus n. sp. laticollis,species,subjective synonym of,Apatosaurus_louisae,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
n. gen. Aragosaurus n. sp. ischiaticus,species,,Aragosaurus_ischiaticus,species,Late Berriasian,Early Valanginian,145,136.4
,,,,,,,,
n. gen. Archaeodontosaurus n. sp. descouensi,species,,Archaeodontosaurus_descouensi,species,Bathonian,,168.3,166.1
,,,,,,,,
