treeID,clade,rep,null_DIC,slow_DIC,asym_DIC,null_post_mean,null_lower95_CI,null_upper95_CI,null_ess,null_pMCMC,slow_post_mean,slow_post_mean_2,slow_lower95_CI,slow_upper95_CI,slow_lower95_CI_2,slow_upper95_CI_2,slow_ess,slow_pMCMC,asym_post_mean,asym_post_mean_sqrt,asym_lower95_CI,asym_upper95_CI,asym_lower95_CI_sqrt,asym_upper95_CI_sqrt,asym_ess,asym_pMCMC
lloyd2008,orni,NA,937.5436308,907.4757479,891.115186,0.007134769,0.004568224,0.009951287,450,0.002222222,0.037241893,-1.31E-04,0.031158781,0.04251668,-1.58E-04,-1.06E-04,450,0.002222222,-0.01403929,0.398937494,-0.018853458,-0.009756653,0.322925731,0.461242212,450,0.002222222
lloyd2008,sauro,NA,633.6287665,634.8168132,601.6330958,0.005776951,0.001558049,0.010827313,380.3675881,0.008888889,0.040951314,-1.72E-04,0.031829263,0.054364307,-2.21E-04,-1.21E-04,773.1189038,0.002222222,-0.022140834,0.527875849,-0.025873338,-0.018536027,0.482595692,0.576718829,450,0.002222222
lloyd2008,thero,NA,972.0265527,968.3133705,886.7885927,0.006600888,0.003800171,0.009155051,450,0.002222222,0.040126609,-1.49E-04,0.034447267,0.044148628,-1.71E-04,-1.26E-04,597.3649403,0.002222222,-0.018149963,0.458217367,-0.02132325,-0.014601992,0.41399517,0.503857978,450,0.002222222
lloyd2008,all,NA,2573.131096,2547.736107,2394.686784,0.005605714,0.003965763,0.007426215,450,0.002222222,0.037682982,-1.38E-04,0.033400217,0.041740855,-1.57E-04,-1.21E-04,421.4095405,0.002222222,-0.018815126,0.47753772,-0.020861423,-0.016637846,0.446074277,0.506949676,450,0.002222222
tree_4,all,1,980.5519622,981.2019095,909.5203239,0.005628696,0.002637934,0.008035862,450,0.002222222,0.037231833,-1.38E-04,0.030853499,0.042996246,-1.65E-04,-1.11E-04,450,0.002222222,-0.018403311,0.459898621,-0.021819244,-0.014855194,0.407582923,0.50277251,450,0.002222222
tree_4,all,2,994.7442629,994.6428443,919.2444447,0.006974061,0.004205743,0.009473027,450,0.002222222,0.04004465,-1.50E-04,0.034812477,0.045247268,-0.000175182,-1.27E-04,450,0.002222222,-0.019003681,0.470405005,-0.022321416,-0.015941953,0.426548758,0.511717103,385.0400088,0.002222222
tree_4,all,3,982.8156833,978.1978809,906.5375633,0.006712106,0.004288136,0.009329514,450,0.002222222,0.03742534,-1.39E-04,0.031840312,0.042780374,-1.63E-04,-1.17E-04,450,0.002222222,-0.017689131,0.449113612,-0.021104922,-0.014074937,0.404508207,0.496199296,450,0.002222222
tree_4,all,4,992.7453215,985.792452,909.9540535,0.007142699,0.004043913,0.009783238,450,0.002222222,0.03964092,-1.48E-04,0.034310937,0.044268177,-1.71E-04,-1.23E-04,450,0.002222222,-0.018453726,0.462913376,-0.02188464,-0.015277535,0.423384873,0.508567121,450,0.002222222
tree_4,all,5,989.3798743,990.0561959,914.958357,0.006726391,0.003855902,0.009109014,383.8475614,0.002222222,0.039879337,-1.48E-04,0.034233388,0.044913122,-1.70E-04,-1.21E-04,450,0.002222222,-0.018107546,0.461360698,-0.021359902,-0.014480677,0.418353989,0.509267201,450,0.002222222
tree_4,all,6,992.612131,992.7361414,916.8150142,0.007048548,0.004198338,0.009661392,450,0.002222222,0.038964104,-1.44E-04,0.033605045,0.043824151,-1.69E-04,-1.20E-04,399.3340066,0.002222222,-0.017684602,0.456005305,-0.020957013,-0.014901683,0.412622755,0.496636912,450,0.002222222
tree_4,all,7,1004.554362,998.492164,921.2968348,0.008235566,0.005225146,0.010674149,450,0.002222222,0.041688701,-1.56E-04,0.037460943,0.045717439,-1.76E-04,-1.34E-04,450,0.002222222,-0.018771313,0.472812815,-0.021727808,-0.014933317,0.427812431,0.5132372,450,0.002222222
tree_4,all,8,986.6553065,983.664392,910.4558664,0.006473848,0.003308468,0.008814,450,0.002222222,0.037748561,-1.40E-04,0.032740447,0.043196515,-1.63E-04,-1.16E-04,450,0.002222222,-0.01792753,0.454042569,-0.021424205,-0.014845675,0.407222462,0.496950427,450,0.002222222
tree_4,all,9,993.8749695,987.2233186,912.3063777,0.00778798,0.004914583,0.010189454,450,0.002222222,0.039194616,-1.45E-04,0.034315855,0.044079746,-1.65E-04,-1.18E-04,450,0.002222222,-0.017986821,0.457881924,-0.021685502,-0.014857212,0.413838633,0.505726587,450,0.002222222
tree_4,all,10,988.2987983,986.8765061,912.1108431,0.006461556,0.003761361,0.00897987,450,0.002222222,0.039241553,-1.46E-04,0.034010327,0.043980323,-1.68E-04,-1.23E-04,450,0.002222222,-0.01840722,0.463234714,-0.021525671,-0.014672756,0.414852284,0.506891221,450,0.002222222
tree_4,all,11,990.4901211,992.1329306,918.2979155,0.006726871,0.004261397,0.009388698,687.3585146,0.002222222,0.039328168,-1.46E-04,0.033413227,0.044639349,-1.69E-04,-1.18E-04,450,0.002222222,-0.018141939,0.461934881,-0.021393896,-0.014478931,0.420490266,0.510708943,373.8807479,0.002222222
tree_4,all,12,995.7008888,986.8272864,913.3789182,0.007798114,0.005286722,0.0109028,450,0.002222222,0.039543555,-1.47E-04,0.034394924,0.043687503,-1.67E-04,-1.24E-04,450,0.002222222,-0.01801552,0.455808601,-0.021666362,-0.015114564,0.410807968,0.498163476,450,0.002222222
tree_4,all,13,979.9382155,982.2056421,910.2606602,0.005769733,0.003068458,0.008366171,450,0.002222222,0.037215073,-1.39E-04,0.030844439,0.043834919,-1.64E-04,-1.05E-04,450,0.002222222,-0.018338819,0.459226647,-0.02180708,-0.015207223,0.41312196,0.504073081,450,0.002222222
tree_4,all,14,995.5733398,994.2673031,916.4992156,0.007357632,0.004650042,0.009902422,450,0.002222222,0.040404505,-1.50E-04,0.036562962,0.046009649,-1.74E-04,-1.32E-04,360.0927741,0.002222222,-0.018270551,0.464383871,-0.021921661,-0.014976338,0.417427769,0.505698065,422.7688274,0.002222222
tree_4,all,15,997.7315694,992.2378805,912.0092406,0.007604943,0.004958866,0.010282881,450,0.002222222,0.040775547,-1.52E-04,0.036671762,0.045053787,-1.73E-04,-1.31E-04,450,0.002222222,-0.018686372,0.469166388,-0.022377584,-0.015542207,0.421741549,0.515673916,309.5111631,0.002222222
tree_4,all,16,988.0436287,983.4302632,908.0744086,0.006841547,0.00435725,0.009486971,604.7137879,0.002222222,0.039309688,-1.46E-04,0.034469941,0.044230842,-1.67E-04,-1.23E-04,450,0.002222222,-0.017950122,0.456188881,-0.021604888,-0.01481071,0.414207389,0.502862148,450,0.002222222
tree_4,all,17,993.7031559,983.1958213,910.3011605,0.007876026,0.005092427,0.010193777,457.7487442,0.002222222,0.038717805,-1.44E-04,0.033820475,0.043277481,-1.64E-04,-1.23E-04,450,0.002222222,-0.017801815,0.450250274,-0.021052808,-0.014284941,0.405655205,0.491585192,450,0.002222222
tree_4,all,18,991.2548421,988.5976281,914.5355523,0.006712192,0.004168281,0.009535777,450,0.002222222,0.039900231,-1.49E-04,0.034750154,0.044867424,-1.76E-04,-1.27E-04,450,0.002222222,-0.018658092,0.466803032,-0.022358643,-0.015105812,0.420190084,0.513662044,780.423325,0.002222222
tree_4,all,19,993.685861,994.5719867,921.3609762,0.006454246,0.003707416,0.009536536,386.0865306,0.002222222,0.040264734,-1.53E-04,0.035584631,0.046263081,-1.76E-04,-1.29E-04,450,0.002222222,-0.019651577,0.477530452,-0.023230838,-0.016271121,0.433616845,0.520931647,450,0.002222222
tree_4,all,20,980.2361034,981.5324832,910.3813748,0.005929065,0.003441012,0.008661184,444.0107037,0.002222222,0.037782387,-1.40E-04,0.03196289,0.043717629,-1.67E-04,-1.18E-04,450,0.002222222,-0.018116021,0.458479194,-0.021714375,-0.014993041,0.41770918,0.507914622,450,0.002222222
tree_4,all,21,981.5877491,986.133477,914.8048227,0.005782424,0.002962921,0.008367471,450,0.002222222,0.037473971,-1.40E-04,0.031520777,0.043323089,-1.66E-04,-1.16E-04,450,0.002222222,-0.018419086,0.460812191,-0.021943521,-0.015140339,0.418783078,0.508747437,450,0.002222222
tree_4,all,22,989.8643046,989.0377949,913.7523215,0.006469272,0.003592898,0.008761623,450,0.002222222,0.03934098,-1.47E-04,0.033957929,0.044430964,-1.71E-04,-1.23E-04,450,0.002222222,-0.018258921,0.462149171,-0.021543999,-0.015115067,0.41979374,0.50512044,380.6886796,0.002222222
tree_4,all,23,997.1604953,987.0539782,910.8635066,0.008097618,0.005386353,0.010679749,619.9913709,0.002222222,0.040053822,-1.49E-04,0.035584478,0.044596378,-1.68E-04,-1.23E-04,387.8406629,0.002222222,-0.018134826,0.459060799,-0.021883472,-0.014863413,0.415238307,0.505498071,450,0.002222222
tree_4,all,24,992.6967906,983.6876988,908.4340768,0.007821774,0.005133876,0.010443962,450,0.002222222,0.039307922,-1.46E-04,0.034368269,0.043918251,-1.67E-04,-1.24E-04,581.7735746,0.002222222,-0.018078808,0.456869386,-0.021230711,-0.014267532,0.408284949,0.496538245,450,0.002222222
tree_4,all,25,991.3132914,984.1135055,907.1840697,0.007500672,0.005181107,0.010072979,450,0.002222222,0.039518558,-1.47E-04,0.035055568,0.043838033,-1.67E-04,-1.26E-04,450,0.002222222,-0.018056547,0.458276276,-0.021699451,-0.015245413,0.419440008,0.507248891,385.4841193,0.002222222
tree_4,all,26,1001.741402,996.2547349,916.5711471,0.008013107,0.005347791,0.010945588,450,0.002222222,0.04204427,-1.58E-04,0.037848744,0.047351452,-1.82E-04,-1.37E-04,450,0.002222222,-0.019347692,0.479337569,-0.02300163,-0.016248246,0.434364229,0.522115514,450,0.002222222
tree_4,all,27,982.8255304,991.4866197,919.5566057,0.006504177,0.003781766,0.008893074,450,0.002222222,0.036602786,-1.32E-04,0.030250483,0.042173862,-1.58E-04,-1.08E-04,450,0.002222222,-0.016742015,0.442983498,-0.020559783,-0.013378435,0.395663271,0.488164194,450,0.002222222
tree_4,all,28,992.3733733,986.6258167,914.1299102,0.007021829,0.004275011,0.009684358,450,0.002222222,0.039648137,-1.48E-04,0.033565012,0.044010423,-1.69E-04,-1.20E-04,450,0.002222222,-0.018542383,0.464640691,-0.021944032,-0.014874275,0.419026501,0.510213555,267.741988,0.002222222
tree_4,all,29,995.9476395,1003.035148,930.9061901,0.00661605,0.003617845,0.009110609,450,0.002222222,0.038825402,-1.45E-04,0.0333774,0.044883782,-1.70E-04,-1.20E-04,450,0.002222222,-0.018487536,0.464257907,-0.021886973,-0.015250286,0.421425236,0.506393155,450,0.002222222
tree_4,all,30,993.38763,984.9401985,911.6346874,0.007687206,0.004853752,0.010256597,483.7878283,0.002222222,0.03903948,-1.45E-04,0.034523248,0.043715063,-1.66E-04,-1.22E-04,450,0.002222222,-0.017471159,0.447083976,-0.020542732,-0.014156416,0.409356259,0.491774717,450,0.002222222
tree_4,all,31,1000.721418,997.2908161,917.1168708,0.007627248,0.004784248,0.010537219,450,0.002222222,0.042054931,-1.58E-04,0.037589484,0.046749416,-1.82E-04,-1.37E-04,450,0.002222222,-0.01913118,0.479094643,-0.022515699,-0.015821187,0.433057391,0.520553651,450,0.002222222
tree_4,all,32,995.6266073,988.1328569,914.2260118,0.008272112,0.005692693,0.010955914,369.0649613,0.002222222,0.039831265,-1.49E-04,0.035123208,0.044205292,-1.72E-04,-1.28E-04,450,0.002222222,-0.018343946,0.459689193,-0.021532531,-0.014843069,0.417064471,0.502972687,450,0.002222222
tree_4,all,33,990.2603062,983.5922015,913.1919565,0.007277777,0.004508714,0.009698095,450,0.002222222,0.03850409,-1.44E-04,0.032927099,0.043276074,-1.67E-04,-1.20E-04,517.2345414,0.002222222,-0.018265871,0.458052058,-0.02173239,-0.014978405,0.414821008,0.505597876,450,0.002222222
tree_4,all,34,998.5663736,993.1736914,914.4223709,0.00799232,0.005443705,0.011091513,450,0.002222222,0.041482291,-1.54E-04,0.036806973,0.046062478,-1.78E-04,-1.32E-04,450,0.002222222,-0.018368744,0.467275738,-0.021977784,-0.01488947,0.424559139,0.513117372,529.5777549,0.002222222
tree_4,all,35,990.0146511,982.136839,906.3339602,0.007047581,0.004610025,0.009796952,509.1849146,0.002222222,0.039193234,-1.46E-04,0.033824227,0.043901967,-1.68E-04,-1.22E-04,473.7370454,0.002222222,-0.017698358,0.449757239,-0.020711961,-0.014660123,0.410044527,0.495010261,550.6107066,0.002222222
tree_4,all,36,1001.058834,994.3524225,916.3283984,0.008076619,0.005428561,0.011231825,539.7420657,0.002222222,0.042104727,-1.57E-04,0.037393688,0.046675419,-1.78E-04,-1.34E-04,457.258285,0.002222222,-0.019003363,0.477673299,-0.02255053,-0.015862668,0.436680715,0.526738558,636.1043649,0.002222222
tree_4,all,37,994.5955396,995.0521617,919.1561434,0.00715051,0.004354896,0.009844774,338.6629829,0.002222222,0.040288419,-1.50E-04,0.035417961,0.045229689,-1.70E-04,-1.28E-04,387.1100823,0.002222222,-0.01852254,0.46741108,-0.021836821,-0.014771036,0.421682557,0.515498979,450,0.002222222
tree_4,all,38,990.7557964,991.6398094,914.8768963,0.00681659,0.004066037,0.009447026,450,0.002222222,0.040035727,-1.50E-04,0.035057525,0.045622509,-1.72E-04,-1.23E-04,450,0.002222222,-0.018751588,0.469258325,-0.022114843,-0.015462672,0.425245702,0.514520113,450,0.002222222
tree_4,all,39,990.8956253,987.806117,910.8791643,0.006854028,0.004218536,0.009705716,450,0.002222222,0.039740105,-1.48E-04,0.033856096,0.044525774,-1.69E-04,-1.24E-04,450,0.002222222,-0.018434228,0.465121683,-0.022073329,-0.014822502,0.411282869,0.506014881,588.1001852,0.002222222
tree_4,all,40,998.0295888,992.2594943,912.3354684,0.00758032,0.00479833,0.010230089,450,0.002222222,0.041372583,-1.55E-04,0.035783994,0.045342077,-1.77E-04,-1.32E-04,381.9819945,0.002222222,-0.018627943,0.468943816,-0.022027621,-0.015307061,0.428243965,0.515602552,450,0.002222222
tree_4,all,41,993.5687275,988.999908,911.0607679,0.007238501,0.004538485,0.010188866,450,0.002222222,0.040458297,-1.51E-04,0.035468029,0.045383586,-1.73E-04,-1.27E-04,450,0.002222222,-0.018320522,0.4640032,-0.021611827,-0.015134538,0.421825017,0.504967282,450,0.002222222
tree_4,all,42,986.3287486,984.8898693,910.3336957,0.006856609,0.004551487,0.009818773,450,0.002222222,0.038919662,-1.44E-04,0.03347362,0.044788275,-1.68E-04,-1.17E-04,450,0.002222222,-0.018367344,0.463213918,-0.022102429,-0.015229684,0.413426345,0.507145943,450,0.002222222
tree_4,all,43,981.9757714,984.6727663,913.9141656,0.005613779,0.003113171,0.008205648,450,0.002222222,0.037946972,-1.42E-04,0.030895025,0.043801065,-1.65E-04,-1.10E-04,450,0.002222222,-0.018596646,0.463227603,-0.021702881,-0.01516779,0.421291567,0.509805852,450,0.002222222
tree_4,all,44,993.9532915,990.8656427,917.5865909,0.007273547,0.004661111,0.009950784,450,0.002222222,0.040148475,-1.49E-04,0.035095091,0.04541587,-1.74E-04,-1.26E-04,450,0.002222222,-0.018620651,0.468133833,-0.021936177,-0.015206114,0.423059138,0.511101978,450,0.002222222
tree_4,all,45,986.9780176,983.7917972,908.7973297,0.006351501,0.003968065,0.009064011,450,0.002222222,0.038056327,-1.42E-04,0.032148768,0.042362907,-1.64E-04,-1.18E-04,347.7858345,0.002222222,-0.017924584,0.453152765,-0.021098656,-0.014269099,0.406244839,0.495530216,389.60809,0.002222222
