treeID,clade,rep,null_DIC,slow_DIC,asym_DIC,null_post_mean_intercept,null_post_mean,null_lower95_CI_intercept,null_upper95_CI_intercept,null_lower95_CI,null_upper95_CI,null_ess,null_pMCMC,slow_post_mean_intercept,slow_post_mean,slow_post_mean_2,slow_lower95_CI_intercept,slow_upper95_CI_intercept,slow_lower95_CI,slow_upper95_CI,slow_lower95_CI_2,slow_upper95_CI_2,slow_ess,slow_pMCMC,asym_post_mean_intercept,asym_post_mean,asym_post_mean_sqrt,asym_lower95_CI_intercept,asym_upper95_CI_intercept,asym_lower95_CI,asym_upper95_CI,asym_lower95_CI_sqrt,asym_upper95_CI_sqrt,asym_ess,asym_pMCMC
lloyd2008,orni,NA,901.7169221,895.1664519,891.1811852,1.792050518,0.005227763,1.47563415,2.106733448,0.00315441,0.007101885,450,0.002222222,1.163289042,0.02015847,-6.36E-05,0.652873375,1.723540941,0.009507055,0.029002085,-1.08E-04,-2.46E-05,377.3396639,0.002222222,-0.48830059,-0.018458821,0.493035676,-1.926081061,1.043283898,-0.033395748,-0.005514339,0.221940638,0.817675966,265.1268629,0.528888889
lloyd2008,sauro,NA,597.1870729,596.2617752,595.2825802,2.112191967,0.003791129,1.894169237,2.328885022,0.001220591,0.006017595,450,0.002222222,1.790769348,0.017242209,-5.94E-05,1.493454194,2.07075862,0.00850688,0.025568422,-9.51E-05,-2.03E-05,450,0.002222222,0.990908008,-0.010705497,0.29305874,0.245049408,1.687737491,-0.020436841,-0.002174135,0.125178553,0.490146527,346.3691832,0.008888889
lloyd2008,thero,NA,890.8595724,886.3543945,882.2862285,2.012329718,0.004891958,1.817883481,2.220873124,0.003459272,0.006770916,450,0.002222222,1.699572745,0.013650995,-3.99E-05,1.406981072,1.982790813,0.00743506,0.020679389,-6.67E-05,-1.08E-05,450,0.002222222,0.945970236,-0.008221594,0.257146957,0.196958147,1.542523654,-0.016565505,-0.001085545,0.126258559,0.418576193,383.4794754,0.013333333
lloyd2008,all,NA,2397.344242,2386.228091,2382.50441,2.174935204,0.00428141,2.038385743,2.324569893,0.003231983,0.005231422,450,0.002222222,1.872101336,0.012829931,-3.66E-05,1.671242567,2.092704748,0.008972413,0.017312734,-5.42E-05,-1.97E-05,295.2033769,0.002222222,1.059551142,-0.008338858,0.257700795,0.553769448,1.59776119,-0.01387762,-0.002652809,0.134666038,0.36142297,390.5990864,0.002222222
tree_4,all,10,918.3922762,912.0098052,908.0489243,2.054091523,0.00490676,1.858508807,2.244310209,0.003431983,0.006389394,450,0.002222222,1.719725738,0.013933866,-4.12E-05,1.412566961,1.988826884,0.008694683,0.019725562,-6.80E-05,-1.72E-05,673.3504965,0.002222222,0.884217111,-0.009239262,0.277548526,0.261339138,1.612840221,-0.017263335,-0.001638286,0.118236045,0.423036942,450,0.008888889
tree_4,all,11,925.3514796,918.8510826,914.6802237,2.045004761,0.005151293,1.817234872,2.241236705,0.003714064,0.006850019,450,0.002222222,1.71464137,0.014426452,-4.24E-05,1.395518803,1.994836748,0.008397597,0.019919991,-6.74E-05,-1.64E-05,450,0.002222222,0.873324337,-0.00938585,0.282655925,0.239273897,1.523834832,-0.016408717,-0.001188562,0.129985433,0.421567183,418.8213627,0.017777778
tree_4,all,12,919.0045035,913.4785511,908.8914586,2.03190574,0.005068626,1.853201726,2.235540673,0.003434001,0.006622286,450,0.002222222,1.690881117,0.014244672,-4.24E-05,1.412407734,2.03041794,0.008212745,0.020887434,-6.84E-05,-1.53E-05,450,0.002222222,0.894647833,-0.008570103,0.266691547,0.266753689,1.586545636,-0.016611472,-9.51E-04,0.102339089,0.405074081,316.0761287,0.008888889
tree_4,all,13,914.7657422,909.8351701,905.9284088,2.023460191,0.004718133,1.795305867,2.224132952,0.003277582,0.006424673,450,0.002222222,1.699124438,0.013624418,-4.04E-05,1.341209632,1.986185846,0.007498187,0.019891931,-7.16E-05,-1.53E-05,450,0.002222222,0.886914916,-0.009059482,0.27100348,0.198817151,1.466194058,-0.016371373,-0.001082734,0.125338876,0.416056168,402.0456409,0.008888889
tree_4,all,14,923.3313479,916.6693053,912.2860101,2.066799912,0.005279155,1.875529543,2.283220074,0.003689914,0.006745484,450,0.002222222,1.717224103,0.014418381,-4.24E-05,1.444170997,1.996337323,0.00808238,0.020255234,-7.03E-05,-1.78E-05,450,0.002222222,0.897156329,-0.008881751,0.27454893,0.22777947,1.534197929,-0.016408744,-0.001766568,0.134162028,0.416319491,450,0.004444444
tree_4,all,1,914.5637484,909.1520215,904.8392912,2.010328575,0.004742277,1.801025519,2.210157772,0.002889545,0.006113767,450,0.002222222,1.705226768,0.013523315,-3.98E-05,1.418113389,2.006181544,0.007587696,0.019685359,-6.82E-05,-1.57E-05,450,0.002222222,0.897609759,-0.008959355,0.268965483,0.210957893,1.572529856,-0.01682831,-9.16E-04,0.107705523,0.417209328,798.4243183,0.017777778
tree_4,all,15,920.3419739,912.9104418,908.001716,2.076962991,0.005141281,1.914350178,2.275339925,0.003614625,0.006708447,450,0.002222222,1.709873177,0.01488582,-4.48E-05,1.391628582,2.009741415,0.009710651,0.020933077,-6.85E-05,-1.96E-05,450,0.002222222,0.875999095,-0.009545341,0.284153555,0.258939823,1.541064324,-0.017484575,-0.002548397,0.139297498,0.42062523,450,0.013333333
tree_4,all,16,914.1150382,907.7626201,903.5776347,2.045267036,0.004940118,1.861623051,2.224536425,0.003546614,0.006527784,604.2713974,0.002222222,1.697497544,0.014152871,-4.22E-05,1.385275252,1.989396005,0.008455342,0.02014161,-6.51E-05,-1.60E-05,450,0.002222222,0.88250642,-0.009030586,0.272863178,0.295394872,1.5619736,-0.016413034,-1.96E-04,0.117617692,0.411094488,339.6116282,0.013333333
tree_4,all,17,915.4375418,909.822635,905.9201347,2.008988052,0.005047172,1.797743203,2.220762959,0.003430004,0.006461048,450,0.002222222,1.681840874,0.01378487,-4.05E-05,1.360040924,1.98060145,0.007676249,0.01934294,-6.74E-05,-1.41E-05,526.1730308,0.002222222,0.943561822,-0.008206486,0.254995442,0.27340378,1.644511923,-0.01535577,3.21E-04,0.095827915,0.392487682,450,0.017777778
tree_4,all,18,923.8202007,915.5275495,911.3923141,2.055230423,0.00494049,1.861810744,2.250033408,0.003482815,0.00653916,378.2572767,0.002222222,1.682329312,0.015172522,-4.68E-05,1.350313381,1.941396498,0.00948102,0.020690053,-7.31E-05,-2.12E-05,559.1418949,0.002222222,0.813118968,-0.010347804,0.298195786,0.130369815,1.440763192,-0.018028063,-0.002453727,0.138190713,0.440156488,392.8287624,0.017777778
tree_4,all,19,930.4164079,923.5576696,918.3187942,2.105229658,0.004490783,1.906179424,2.306936943,0.002925875,0.006119899,450,0.002222222,1.731726449,0.014575519,-4.60E-05,1.416581336,2.029702401,0.00866017,0.021039031,-7.06E-05,-1.61E-05,450,0.002222222,0.834387495,-0.010845059,0.301013143,0.189930506,1.505513332,-0.019034723,-0.003674797,0.162186367,0.459130892,450,0.026666667
tree_4,all,20,915.5138628,910.0830619,906.1971144,2.022671766,0.004817238,1.835806101,2.267396442,0.003214312,0.006461619,450,0.002222222,1.701743854,0.014029618,-4.16E-05,1.391327027,1.991200489,0.008129619,0.019910591,-7.09E-05,-1.87E-05,630.1382034,0.002222222,0.903902838,-0.00888408,0.268716983,0.274905501,1.514292125,-0.016116699,-0.001718556,0.130266911,0.400527539,386.0203358,0.002222222
tree_4,all,21,920.5281539,915.3656724,910.9673847,2.022877073,0.00470175,1.788817688,2.234480291,0.003156081,0.006294077,462.43029,0.002222222,1.699704102,0.013921782,-4.18E-05,1.382603551,2.000079744,0.007752783,0.019950119,-6.77E-05,-1.31E-05,450,0.002222222,0.848465085,-0.00963284,0.283361864,0.191822527,1.570333062,-0.017571793,-0.00186476,0.137880681,0.441393738,450,0.004444444
tree_4,all,22,920.6455212,914.440028,909.7204683,2.045626344,0.004989432,1.84633419,2.235228192,0.003409253,0.006421343,450,0.002222222,1.708594776,0.014240885,-4.25E-05,1.394796816,1.99189153,0.009152945,0.02139301,-7.43E-05,-1.97E-05,450,0.002222222,0.870961162,-0.009358831,0.280125549,0.2022444,1.485888356,-0.015912498,-0.001228168,0.120476247,0.40841862,450,0.004444444
